Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Kayvon Thibodeaux,Oregon,EDGE,2021-10-03,2,NEW YORK JETS,Oregon,Pac 12,35
2,2,Evan Neal,Alabama,OT,2021-10-03,1,JACKSONVILLE JAGUARS,Alabama,SEC,35
3,2,Derek Stingley Jr.,LSU,CB,2021-10-03,3,PHILADELPHIA EAGLES,Louisiana,SEC,35
4,3,Kyle Hamilton,Notre Dame,S,2021-10-03,4,DETROIT LIONS,Indiana,FBS - Independent,35
5,5,DeMarvin Leal,Texas A&M,DL,2021-10-03,7,NEW ENGLAND PATRIOTS,Texas,SEC,35
6,1,Spencer Rattler,Oklahoma,QB,2021-10-03,6,PHILADELPHIA EAGLES,Oklahoma,Big 12,35
7,6,Kenyon Green,Texas A&M,IOL,2021-10-03,11,NEW YORK JETS,Texas,SEC,35
8,8,Kaiir Elam,Florida,CB,2021-10-03,8,HOUSTON TEXANS,Florida,SEC,35
9,9,Andrew Booth Jr.,Clemson,CB,2021-10-03,19,BUFFALO BILLS,South Carolina,ACC,35
10,1,Drake Jackson,USC,EDGE,2021-10-03,9,ATLANTA FALCONS,California,Pac 12,35
11,9,Chris Olave,Ohio State,WR,2021-10-03,16,KANSAS CITY CHIEFS,Ohio,Big Ten,30
12,12,Aidan Hutchinson,Michigan,EDGE,2021-10-03,5,NEW YORK GIANTS,Michigan,Big Ten,30
13,10,George Karlaftis,Purdue,EDGE,2021-10-03,10,PHILADELPHIA EAGLES,Indiana,Big Ten,30
14,10,Malik Willis,Liberty,QB,2021-10-03,13,WASHINGTON FOOTBALL TEAM,Virginia,FCS,30
15,11,Garrett Wilson,Ohio State,WR,2021-10-03,17,NEW ORLEANS SAINTS,Ohio,Big Ten,30
16,2,Sam Howell,North Carolina,QB,2021-10-03,Possible 1st round pick,No Consensus Available,North Carolina,ACC,30
17,17,Matt Corral,Ole Miss,QB,2021-10-03,Possible 1st round pick,No Consensus Available,Mississippi,SEC,30
18,15,Tyler Linderbaum,Iowa,IOL,2021-10-03,20,TENNESSEE TITANS,Iowa,Big Ten,30
19,17,Carson Strong,Nevada,QB,2021-10-03,15,PITTSBURGH STEELERS,Nevada,FBS - Mountain West,30
20,6,Christian Harris,Alabama,LB,2021-10-03,12,NEW YORK GIANTS,Alabama,SEC,30
21,20,Ahmad Gardner,Cincinnati,CB,2021-10-03,Possible 1st round pick,No Consensus Available,Ohio,FBS - AAC,30
22,19,Treylon Burks,Arkansas,WR,2021-10-03,24,BALTIMORE RAVENS,Arkansas,SEC,30
23,23,Trent McDuffie,Washington,CB,2021-10-03,30,DENVER BRONCOS,Washington,Pac 12,30
24,6,Zach Harrison,Ohio State,EDGE,2021-10-03,14,MINNESOTA VIKINGS,Ohio,Big Ten,30
25,16,Jaxson Kirkland,Washington,OT,2021-10-03,21,TAMPA BAY BUCCANEERS,Washington,Pac 12,30
26,26,Jordan Davis,Georgia,DL,2021-10-03,26,LOS ANGELES CHARGERS,Georgia,SEC,25
27,27,Ikem Ekwonu,NC State,IOL,2021-10-03,32,LAS VEGAS RAIDERS,North Carolina,ACC,25
28,27,Adam Anderson,Georgia,EDGE,2021-10-03,Possible 1st round pick,No Consensus Available,Georgia,SEC,25
29,29,Drake London,USC,WR,2021-10-03,Possible 1st round pick,No Consensus Available,California,Pac 12,25
30,19,Jordan Battle,Alabama,S,2021-10-03,Possible 1st round pick,No Consensus Available,Alabama,SEC,25
31,21,Brandon Joseph,Northwestern,S,2021-10-03,28,CAROLINA PANTHERS,Illinois,Big Ten,25
32,14,Jalen Wydermyer,Texas A&M,TE,2021-10-03,23,DALLAS COWBOYS,Texas,SEC,25
33,24,Kingsley Enagbare,South Carolina,EDGE,2021-10-03,31,ARIZONA CARDINALS,South Carolina,SEC,25
34,19,Myjai Sanders,Cincinnati,EDGE,2021-10-03,27,CINCINNATI BENGALS,Ohio,FBS - AAC,25
35,28,Darian Kinnard,Kentucky,OT,2021-10-03,,,Kentucky,SEC,25
36,19,John Metchie III,Alabama,WR,2021-10-03,25,GREEN BAY PACKERS,Alabama,SEC,20
37,13,Isaiah Spiller,Texas A&M,RB,2021-10-03,,,Texas,SEC,20
38,35,Devin Lloyd,Utah,LB,2021-10-03,,,Utah,Pac 12,20
39,14,Charles Cross,Mississippi State,OT,2021-10-03,18,CLEVELAND BROWNS,Mississippi,SEC,20
40,20,Nik Bonitto,Oklahoma,EDGE,2021-10-03,,,Oklahoma,Big 12,20
41,22,Breece Hall,Iowa State,RB,2021-10-03,22,MIAMI DOLPHINS,Iowa,Big 12,20
42,42,Sean Rhyan,UCLA,OT,2021-10-03,,,California,Pac 12,20
43,36,Nicholas Petit-Frere,Ohio State,OT,2021-10-03,,,Ohio,Big Ten,20
44,38,Nakobe Dean,Georgia,LB,2021-10-03,,,Georgia,SEC,20
45,13,George Pickens,Georgia,WR,2021-10-03,29,DETROIT LIONS,Georgia,SEC,20
46,11,Zion Nelson,Miami (FL),OT,2021-10-03,,,Florida,ACC,20
47,47,Roger McCreary,Auburn,CB,2021-10-03,,,Alabama,SEC,20
48,41,Jalen Catalon,Arkansas,S,2021-10-03,,,Arkansas,SEC,20
49,8,Justyn Ross,Clemson,WR,2021-10-03,,,South Carolina,ACC,20
50,25,Perrion Winfrey,Oklahoma,DL,2021-10-03,,,Oklahoma,Big 12,20
51,17,Rasheed Walker,Penn State,OT,2021-10-03,,,Pennsylvania,Big Ten,20
52,40,Daniel Faalele,Minnesota,OT,2021-10-03,,,Minnesota,Big Ten,20
53,43,David Bell,Purdue,WR,2021-10-03,,,Indiana,Big Ten,20
54,35,Daxton Hill,Michigan,S,2021-10-03,,,Michigan,Big Ten,20
55,4,Desmond Ridder,Cincinnati,QB,2021-10-03,,,Ohio,FBS - AAC,20
56,56,Mykael Wright,Oregon,CB,2021-10-03,,,Oregon,Pac 12,20
57,7,Kedon Slovis,USC,QB,2021-10-03,,,California,Pac 12,20
58,32,Josh Jobe,Alabama,CB,2021-10-03,,,Alabama,SEC,20
59,55,Trevor Penning,Northern Iowa,OT,2021-10-03,,,Iowa,FCS,20
60,58,Jalen Tolbert,South Alabama,WR,2021-10-03,,,Alabama,FBS - Sun Belt,15
61,56,DeMarvion Overshown,Texas,LB,2021-10-03,,,Texas,Big 12,15
62,7,Sevyn Banks,Ohio State,CB,2021-10-03,,,Ohio,Big Ten,15
63,40,Thayer Munford,Ohio State,OT,2021-10-03,,,Ohio,Big Ten,15
64,35,Brandon Smith,Penn State,LB,2021-10-03,,,Pennsylvania,Big Ten,15
65,51,Cade Otton,Washington,TE,2021-10-03,,,Washington,Pac 12,15
66,50,Kyren Williams,Notre Dame,RB,2021-10-03,,,Indiana,FBS - Independent,15
67,34,Jahleel Billingsley,Alabama,TE,2021-10-03,,,Alabama,SEC,15
68,50,Romeo Doubs,Nevada,WR,2021-10-03,,,Nevada,FBS - Mountain West,15
69,34,Jaquan Brisker,Penn State,S,2021-10-03,,,Pennsylvania,Big Ten,15
70,54,Tykee Smith,Georgia,S,2021-10-03,,,Georgia,SEC,15
71,47,Jahan Dotson,Penn State,WR,2021-10-03,,,Pennsylvania,Big Ten,10
72,16,Brenton Cox Jr.,Florida,EDGE,2021-10-03,,,Florida,SEC,10
73,48,Henry To'oto'o,Alabama,LB,2021-10-03,,,Alabama,SEC,10
74,20,Derion Kendrick,Georgia,CB,2021-10-03,,,Georgia,SEC,10
75,66,Nolan Smith,Georgia,EDGE,2021-10-03,,,Georgia,SEC,10
76,58,Tre'Vius Hodges-Tomlinson,TCU,CB,2021-10-03,,,Texas,Big 12,10
77,44,Owen Pappoe,Auburn,LB,2021-10-03,,,Alabama,SEC,10
78,19,Ventrell Miller,Florida,LB,2021-10-03,,,Florida,SEC,10
