Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Kayvon Thibodeaux,Oregon,EDGE,2021-08-15,4,NEW YORK JETS,Oregon,Pac 12,35
2,2,Derek Stingley Jr.,LSU,CB,2021-08-15,6,PHILADELPHIA EAGLES,Louisiana,SEC,35
3,2,Spencer Rattler,Oklahoma,QB,2021-08-15,1,HOUSTON TEXANS,Oklahoma,Big 12,35
4,2,Sam Howell,North Carolina,QB,2021-08-15,2,DETROIT LIONS,North Carolina,ACC,35
5,4,Evan Neal,Alabama,OT,2021-08-15,3,CINCINNATI BENGALS,Alabama,SEC,35
6,4,Kyle Hamilton,Notre Dame,S,2021-08-15,5,JACKSONVILLE JAGUARS,Indiana,FBS - Independent,35
7,7,DeMarvin Leal,Texas A&M,DL,2021-08-15,8,LAS VEGAS RAIDERS,Texas,SEC,35
8,1,Drake Jackson,USC,EDGE,2021-08-15,7,ATLANTA FALCONS,California,Pac 12,35
9,9,Kaiir Elam,Florida,CB,2021-08-15,12,ARIZONA CARDINALS,Florida,SEC,35
10,2,Chris Olave,Ohio State,WR,2021-08-15,19,NEW ORLEANS SAINTS,Ohio,Big Ten,35
11,6,Christian Harris,Alabama,LB,2021-08-15,9,NEW YORK GIANTS,Alabama,SEC,30
12,12,George Karlaftis,Purdue,EDGE,2021-08-15,15,MINNESOTA VIKINGS,Indiana,Big Ten,30
13,5,Kedon Slovis,USC,QB,2021-08-15,13,WASHINGTON FOOTBALL TEAM,California,Pac 12,30
14,5,Garrett Wilson,Ohio State,WR,2021-08-15,18,NEW ENGLAND PATRIOTS,Ohio,Big Ten,30
15,6,Zach Harrison,Ohio State,EDGE,2021-08-15,20,PHILADELPHIA EAGLES,Ohio,Big Ten,30
16,13,Jalen Wydermyer,Texas A&M,TE,2021-08-15,17,LOS ANGELES CHARGERS,Texas,SEC,30
17,14,Zion Nelson,Miami (FL),OT,2021-08-15,10,CAROLINA PANTHERS,Florida,ACC,30
18,14,Charles Cross,Mississippi State,OT,2021-08-15,14,PITTSBURGH STEELERS,Mississippi,SEC,30
19,19,Kenyon Green,Texas A&M,IOL,2021-08-15,11,NEW YORK GIANTS,Texas,SEC,30
20,19,John Metchie III,Alabama,WR,2021-08-15,30,DETROIT LIONS,Alabama,SEC,30
21,17,Rasheed Walker,Penn State,OT,2021-08-15,27,BALTIMORE RAVENS,Pennsylvania,Big Ten,30
22,12,George Pickens,Georgia,WR,2021-08-15,24,TENNESSEE TITANS,Georgia,SEC,30
23,23,Malik Willis,Liberty,QB,2021-08-15,16,DENVER BRONCOS,Virginia,FCS,30
24,12,Isaiah Spiller,Texas A&M,RB,2021-08-15,26,MIAMI DOLPHINS,Texas,SEC,30
25,11,Sevyn Banks,Ohio State,CB,2021-08-15,22,NEW YORK JETS,Ohio,Big Ten,30
26,7,Justyn Ross,Clemson,WR,2021-08-15,28,GREEN BAY PACKERS,South Carolina,ACC,25
27,26,Aidan Hutchinson,Michigan,EDGE,2021-08-15,21,DALLAS COWBOYS,Michigan,Big Ten,25
28,12,Breece Hall,Iowa State,RB,2021-08-15,29,BUFFALO BILLS,Iowa,Big 12,25
29,29,Treylon Burks,Arkansas,WR,2021-08-15,23,PHILADELPHIA EAGLES,Arkansas,SEC,25
30,26,Tyler Linderbaum,Iowa,IOL,2021-08-15,31,TAMPA BAY BUCCANEERS,Iowa,Big Ten,25
31,30,Ahmad Gardner,Cincinnati,CB,2021-08-15,Possible 1st round pick,No Consensus Available,Ohio,FBS - AAC,25
32,32,Andrew Booth Jr.,Clemson,CB,2021-08-15,Possible 1st round pick,No Consensus Available,South Carolina,ACC,25
33,20,Desmond Ridder,Cincinnati,QB,2021-08-15,,,Ohio,FBS - AAC,25
34,33,Jordan Battle,Alabama,S,2021-08-15,,,Alabama,SEC,25
35,35,Carson Strong,Nevada,QB,2021-08-15,,,Nevada,FBS - Mountain West,25
36,19,Josh Jobe,Alabama,CB,2021-08-15,32,KANSAS CITY CHIEFS,Alabama,SEC,20
37,31,Perrion Winfrey,Oklahoma,DL,2021-08-15,25,CLEVELAND BROWNS,Oklahoma,Big 12,20
38,7,Bubba Bolden,Miami (FL),S,2021-08-15,,,Florida,ACC,20
39,24,Ventrell Miller,Florida,LB,2021-08-15,,,Florida,SEC,20
40,26,Kingsley Enagbare,South Carolina,EDGE,2021-08-15,,,South Carolina,SEC,20
41,24,Nik Bonitto,Oklahoma,EDGE,2021-08-15,,,Oklahoma,Big 12,20
42,19,Cade Mays,Tennessee,IOL,2021-08-15,,,Tennessee,SEC,20
43,43,Ikem Ekwonu,NC State,IOL,2021-08-15,,,North Carolina,ACC,20
44,6,Jordan Davis,Georgia,DL,2021-08-15,,,Georgia,SEC,20
45,2,Derion Kendrick,Georgia,CB,2021-08-15,,,Georgia,SEC,20
46,46,Brandon Joseph,Northwestern,S,2021-08-15,,,Illinois,Big Ten,20
47,14,Brenton Cox Jr.,Florida,EDGE,2021-08-15,,,Florida,SEC,20
48,10,J.T. Daniels,Georgia,QB,2021-08-15,,,Georgia,SEC,20
49,43,Myjai Sanders,Cincinnati,EDGE,2021-08-15,,,Ohio,FBS - AAC,20
50,50,Drake London,USC,WR,2021-08-15,,,California,Pac 12,20
51,47,Owen Pappoe,Auburn,LB,2021-08-15,,,Alabama,SEC,20
52,26,Kyren Williams,Notre Dame,RB,2021-08-15,,,Indiana,FBS - Independent,20
53,48,David Bell,Purdue,WR,2021-08-15,,,Indiana,Big Ten,20
54,54,Darian Kinnard,Kentucky,OT,2021-08-15,,,Kentucky,SEC,20
55,38,Thayer Munford,Ohio State,OT,2021-08-15,,,Ohio,Big Ten,20
56,37,Nick Broeker,Ole Miss,OT,2021-08-15,,,Mississippi,SEC,20
57,47,Abraham Lucas,Washington State,OT,2021-08-15,,,Washington,Pac 12,20
58,58,Jaxson Kirkland,Washington,OT,2021-08-15,,,Washington,Pac 12,20
59,59,Trent McDuffie,Washington,CB,2021-08-15,,,Washington,Pac 12,20
60,42,Tyler Davis,Clemson,DL,2021-08-15,,,South Carolina,ACC,15
61,61,Jahleel Billingsley,Alabama,TE,2021-08-15,,,Alabama,SEC,15
62,60,Zion Tupuola-Fetui,Washington,EDGE,2021-08-15,,,Washington,Pac 12,15
63,46,Jeremy Ruckert,Ohio State,TE,2021-08-15,,,Ohio,Big Ten,15
64,15,Matt Corral,Ole Miss,QB,2021-08-15,,,Mississippi,SEC,15
65,49,Devin Lloyd,Utah,LB,2021-08-15,,,Utah,Pac 12,15
66,42,Tre'Vius Hodges-Tomlinson,TCU,CB,2021-08-15,,,Texas,Big 12,15
67,5,Haskell Garrett,Ohio State,DL,2021-08-15,,,Ohio,Big Ten,15
68,66,Tyreke Smith,Ohio State,DL,2021-08-15,,,Ohio,Big Ten,15
69,45,Ty Fryfogle,Indiana,WR,2021-08-15,,,Indiana,Big Ten,15
70,70,Adam Anderson,Georgia,EDGE,2021-08-15,,,Georgia,SEC,15
71,18,Merlin Robertson,Arizona State,EDGE,2021-08-15,,,Arizona,Pac 12,10
72,33,Jahan Dotson,Penn State,WR,2021-08-15,,,Pennsylvania,Big Ten,10
73,62,Jarrett Patterson,Notre Dame,IOL,2021-08-15,,,Indiana,FBS - Independent,10
74,55,Phil Jurkovec,Boston College,QB,2021-08-15,,,Massachusetts,ACC,10
75,75,Sean Rhyan,UCLA,OT,2021-08-15,,,California,Pac 12,10
76,47,Nolan Smith,Georgia,EDGE,2021-08-15,,,Georgia,SEC,10
77,68,D.J. Dale,Alabama,DL,2021-08-15,,,Alabama,SEC,10
78,42,Xavier Thomas,Clemson,EDGE,2021-08-15,,,South Carolina,ACC,10
79,15,Brandon Smith,Penn State,LB,2021-08-15,,,Pennsylvania,Big Ten,10
80,73,Tiawan Mullen,Indiana,CB,2021-08-15,,,Indiana,Big Ten,10
81,22,Tyler Shough,Texas Tech,QB,2021-08-15,,,Texas,Big 12,10
82,39,Christopher Hinton,Michigan,DL,2021-08-15,,,Michigan,Big Ten,10
83,83,Avery Young,Rutgers,CB,2021-08-15,,,New Jersey,Big Ten,10
84,43,Martin Emerson,Mississippi State,CB,2021-08-15,,,Mississippi,SEC,10
85,10,Logan Brown,Wisconsin,OT,2021-08-15,,,Wisconsin,Big Ten,10
86,51,Zamir White,Georgia,RB,2021-08-15,,,Georgia,SEC,10
87,8,Daniel Faalele,Minnesota,OT,2021-08-15,,,Minnesota,Big Ten,10
88,73,Joseph Ngata,Clemson,WR,2021-08-15,,,South Carolina,ACC,10
89,73,Tykee Smith,West Virginia,S,2021-08-15,,,West Virginia,Big 12,10
90,75,Mike Jones Jr.,LSU,LB,2021-08-15,,,Louisiana,SEC,10
91,42,Charlie Kolar,Iowa State,TE,2021-08-15,,,Iowa,Big 12,10
92,72,DeMarvion Overshown,Texas,LB,2021-08-15,,,Texas,Big 12,10
93,20,Edefuan Ulofoshio,Washington,LB,2021-08-15,,,Washington,Pac 12,10
94,41,Jalen Green,Texas,CB,2021-08-15,,,Texas,Big 12,10
95,59,Sam Williams,Ole Miss,EDGE,2021-08-15,,,Mississippi,SEC,10
96,87,Demani Richardson,Texas A&M,S,2021-08-15,,,Texas,SEC,10
97,84,Jerrion Ealy,Ole Miss,RB,2021-08-15,,,Mississippi,SEC,10
98,66,Cade Otton,Washington,TE,2021-08-15,,,Washington,Pac 12,10
99,43,Marcus Hooker,Ohio State,S,2021-08-15,,,Ohio,Big Ten,10
100,89,Kennedy Brooks,Oklahoma,RB,2021-08-15,,,Oklahoma,Big 12,10
101,101,Dohnovan West,Arizona State,IOL,2021-08-15,,,Arizona,Pac 12,8
