Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Kayvon Thibodeaux,Oregon,EDGE,2021-08-10,4,NEW YORK JETS,Oregon,Pac 12,35
2,2,Derek Stingley Jr.,LSU,CB,2021-08-10,6,PHILADELPHIA EAGLES,Louisiana,SEC,35
3,2,Spencer Rattler,Oklahoma,QB,2021-08-10,1,HOUSTON TEXANS,Oklahoma,Big 12,35
4,2,Sam Howell,North Carolina,QB,2021-08-10,2,DETROIT LIONS,North Carolina,ACC,35
5,4,Evan Neal,Alabama,OT,2021-08-10,3,CINCINNATI BENGALS,Alabama,SEC,35
6,4,Kyle Hamilton,Notre Dame,S,2021-08-10,5,JACKSONVILLE JAGUARS,Indiana,FBS - Independent,35
7,7,DeMarvin Leal,Texas A&M,DL,2021-08-10,8,LAS VEGAS RAIDERS,Texas,SEC,35
8,1,Drake Jackson,USC,EDGE,2021-08-10,7,ATLANTA FALCONS,California,Pac 12,35
9,2,Chris Olave,Ohio State,WR,2021-08-10,19,NEW ORLEANS SAINTS,Ohio,Big Ten,35
10,10,Kaiir Elam,Florida,CB,2021-08-10,12,ARIZONA CARDINALS,Florida,SEC,35
11,6,Christian Harris,Alabama,LB,2021-08-10,9,NEW YORK GIANTS,Alabama,SEC,30
12,12,George Karlaftis,Purdue,DL,2021-08-10,15,MINNESOTA VIKINGS,Indiana,Big Ten,30
13,5,Kedon Slovis,USC,QB,2021-08-10,13,WASHINGTON FOOTBALL TEAM,California,Pac 12,30
14,5,Garrett Wilson,Ohio State,WR,2021-08-10,18,NEW ENGLAND PATRIOTS,Ohio,Big Ten,30
15,7,Zach Harrison,Ohio State,EDGE,2021-08-10,20,PHILADELPHIA EAGLES,Ohio,Big Ten,30
16,13,Jalen Wydermyer,Texas A&M,TE,2021-08-10,17,LOS ANGELES CHARGERS,Texas,SEC,30
17,14,Zion Nelson,Miami (FL),OT,2021-08-10,10,CAROLINA PANTHERS,Florida,ACC,30
18,17,Charles Cross,Mississippi State,OT,2021-08-10,14,PITTSBURGH STEELERS,Mississippi,SEC,30
19,19,Kenyon Green,Texas A&M,IOL,2021-08-10,11,NEW YORK GIANTS,Texas,SEC,30
20,19,John Metchie III,Alabama,WR,2021-08-10,28,GREEN BAY PACKERS,Alabama,SEC,30
21,18,Rasheed Walker,Penn State,OT,2021-08-10,27,BALTIMORE RAVENS,Pennsylvania,Big Ten,30
22,12,George Pickens,Georgia,WR,2021-08-10,24,TENNESSEE TITANS,Georgia,SEC,30
23,15,Sevyn Banks,Ohio State,CB,2021-08-10,22,NEW YORK JETS,Ohio,Big Ten,30
24,24,Malik Willis,Liberty,QB,2021-08-10,16,DENVER BRONCOS,Virginia,FCS,30
25,8,Justyn Ross,Clemson,WR,2021-08-10,30,DETROIT LIONS,South Carolina,ACC,30
26,12,Isaiah Spiller,Texas A&M,RB,2021-08-10,26,MIAMI DOLPHINS,Texas,SEC,25
27,26,Aidan Hutchinson,Michigan,EDGE,2021-08-10,21,DALLAS COWBOYS,Michigan,Big Ten,25
28,12,Breece Hall,Iowa State,RB,2021-08-10,29,BUFFALO BILLS,Iowa,Big 12,25
29,26,Tyler Linderbaum,Iowa,IOL,2021-08-10,31,TAMPA BAY BUCCANEERS,Iowa,Big Ten,25
30,30,Ahmad Gardner,Cincinnati,CB,2021-08-10,Possible 1st round pick,No Consensus Available,Ohio,FBS - AAC,25
31,31,Treylon Burks,Arkansas,WR,2021-08-10,23,PHILADELPHIA EAGLES,Arkansas,SEC,25
32,32,Andrew Booth Jr.,Clemson,CB,2021-08-10,Possible 1st round pick,No Consensus Available,South Carolina,ACC,25
33,20,Desmond Ridder,Cincinnati,QB,2021-08-10,,,Ohio,FBS - AAC,25
34,33,Jordan Battle,Alabama,S,2021-08-10,,,Alabama,SEC,25
35,16,Josh Jobe,Alabama,CB,2021-08-10,32,KANSAS CITY CHIEFS,Alabama,SEC,25
36,31,Perrion Winfrey,Oklahoma,DL,2021-08-10,25,CLEVELAND BROWNS,Oklahoma,Big 12,20
37,37,Carson Strong,Nevada,QB,2021-08-10,,,Nevada,FBS - Mountain West,20
38,7,Bubba Bolden,Miami (FL),S,2021-08-10,,,Florida,ACC,20
39,24,Ventrell Miller,Florida,LB,2021-08-10,,,Florida,SEC,20
40,24,Nik Bonitto,Oklahoma,EDGE,2021-08-10,,,Oklahoma,Big 12,20
41,18,Cade Mays,Tennessee,IOL,2021-08-10,,,Tennessee,SEC,20
42,26,Kingsley Enagbare,South Carolina,EDGE,2021-08-10,,,South Carolina,SEC,20
43,10,J.T. Daniels,Georgia,QB,2021-08-10,,,Georgia,SEC,20
44,44,Ikem Ekwonu,NC State,IOL,2021-08-10,,,North Carolina,ACC,20
45,6,Jordan Davis,Georgia,DL,2021-08-10,,,Georgia,SEC,20
46,14,Brenton Cox Jr.,Florida,EDGE,2021-08-10,,,Florida,SEC,20
47,3,Derion Kendrick,Georgia,CB,2021-08-10,,,Georgia,SEC,20
48,48,Brandon Joseph,Northwestern,S,2021-08-10,,,Illinois,Big Ten,20
49,43,Myjai Sanders,Cincinnati,EDGE,2021-08-10,,,Ohio,FBS - AAC,20
50,50,Drake London,USC,WR,2021-08-10,,,California,Pac 12,20
51,46,Owen Pappoe,Auburn,LB,2021-08-10,,,Alabama,SEC,20
52,39,Thayer Munford,Ohio State,OT,2021-08-10,,,Ohio,Big Ten,20
53,26,Kyren Williams,Notre Dame,RB,2021-08-10,,,Indiana,FBS - Independent,20
54,48,David Bell,Purdue,WR,2021-08-10,,,Indiana,Big Ten,20
55,54,Darian Kinnard,Kentucky,OT,2021-08-10,,,Kentucky,SEC,20
56,41,Tyler Davis,Clemson,DL,2021-08-10,,,South Carolina,ACC,20
57,37,Nick Broeker,Ole Miss,OT,2021-08-10,,,Mississippi,SEC,20
58,42,Abraham Lucas,Washington State,OT,2021-08-10,,,Washington,Pac 12,20
59,46,Jeremy Ruckert,Ohio State,TE,2021-08-10,,,Ohio,Big Ten,20
60,60,Jaxson Kirkland,Washington,OT,2021-08-10,,,Washington,Pac 12,15
61,61,Trent McDuffie,Washington,CB,2021-08-10,,,Washington,Pac 12,15
62,49,Devin Lloyd,Utah,LB,2021-08-10,,,Utah,Pac 12,15
63,61,Jahleel Billingsley,Alabama,TE,2021-08-10,,,Alabama,SEC,15
64,60,Zion Tupuola-Fetui,Washington,EDGE,2021-08-10,,,Washington,Pac 12,15
65,44,Ty Fryfogle,Indiana,WR,2021-08-10,,,Indiana,Big Ten,15
66,18,Merlin Robertson,Arizona State,EDGE,2021-08-10,,,Arizona,Pac 12,15
67,15,Matt Corral,Ole Miss,QB,2021-08-10,,,Mississippi,SEC,15
68,42,Tre'Vius Hodges-Tomlinson,TCU,CB,2021-08-10,,,Texas,Big 12,15
69,2,Haskell Garrett,Ohio State,DL,2021-08-10,,,Ohio,Big Ten,15
70,57,Tyreke Smith,Ohio State,DL,2021-08-10,,,Ohio,Big Ten,15
71,71,Adam Anderson,Georgia,EDGE,2021-08-10,,,Georgia,SEC,10
