State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,321,14,62
Alabama,229,7,31
Florida,219,9,42
Michigan,197,5,25
Washington,190,2,20
Georgia,177,5,20
Louisiana,161,5,24
Oregon,152,2,18
North Carolina,151,7,29
California,146,7,30
Pennsylvania,133,4,21
Ohio,121,9,23
South Carolina,114,4,16
Indiana,99,4,17
Kentucky,90,4,23
Missouri,88,2,13
Iowa,72,3,7
Utah,64,3,15
Illinois,62,4,13
Kansas,54,2,13
Mississippi,47,4,24
Oklahoma,43,3,10
Arizona,40,2,9
Tennessee,36,5,18
Connecticut,36,2,4
West Virginia,35,2,7
Minnesota,29,2,6
Massachusetts,28,3,8
Virginia,25,6,12
New Jersey,24,2,4
Maryland,22,3,10
Wisconsin,22,1,8
Colorado,22,3,8
South Dakota,22,2,7
Arkansas,21,1,9
Wyoming,7,1,3
New Hampshire,6,1,1
Nebraska,5,1,5
New York,4,2,4
Idaho,3,2,3
Canada,2,2,2
North Dakota,1,1,1
Washington DC,1,1,1
Nevada,1,1,1
Rhode Island,1,1,1
