State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Ohio,361,8,46
Florida,323,8,79
Texas,287,13,76
Alabama,218,4,49
Georgia,210,4,37
South Carolina,201,3,37
California,181,7,49
North Carolina,149,7,41
Pennsylvania,138,2,20
Michigan,137,3,34
Washington,127,3,18
Louisiana,122,5,35
Indiana,108,4,29
Oregon,101,2,22
Iowa,77,2,18
Utah,70,2,15
Mississippi,67,4,37
Arkansas,67,3,16
Illinois,59,4,14
Arizona,58,2,18
Oklahoma,56,3,29
Tennessee,49,3,24
Kentucky,49,3,21
Wisconsin,45,1,12
Kansas,42,2,9
Missouri,36,1,12
Maryland,33,2,11
Virginia,31,5,20
Colorado,31,2,10
Massachusetts,28,3,9
New Jersey,25,2,6
Minnesota,24,1,7
West Virginia,23,2,8
New York,22,3,9
Nebraska,14,1,12
Connecticut,14,2,4
South Dakota,9,1,5
Idaho,4,1,3
Wyoming,2,1,2
Montana,2,2,2
