State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Ohio,365,8,46
Florida,317,8,80
Texas,286,13,76
Alabama,232,4,49
Georgia,216,4,38
South Carolina,208,3,37
California,177,7,49
North Carolina,148,7,41
Michigan,136,3,34
Pennsylvania,134,2,20
Washington,124,3,18
Louisiana,119,5,35
Indiana,104,4,29
Oregon,98,2,22
Iowa,84,2,18
Utah,75,2,15
Mississippi,69,4,37
Arkansas,66,3,16
Oklahoma,58,3,29
Arizona,57,2,18
Illinois,56,4,14
Tennessee,53,3,24
Kentucky,52,3,21
Wisconsin,45,1,12
Kansas,35,2,9
Maryland,33,2,11
Missouri,32,1,12
Colorado,32,2,10
Virginia,30,5,20
Minnesota,27,1,7
Massachusetts,25,3,9
New Jersey,25,2,6
New York,22,3,9
West Virginia,19,2,8
Nebraska,14,1,12
Connecticut,11,2,4
South Dakota,10,1,5
Idaho,4,1,3
Wyoming,2,1,2
Montana,2,2,2
