State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,337,15,98
Florida,327,8,87
Ohio,288,9,50
Alabama,217,4,53
Georgia,215,4,42
South Carolina,204,3,41
California,189,7,56
Washington,178,3,24
North Carolina,164,7,46
Louisiana,159,6,42
Pennsylvania,151,3,28
Michigan,147,3,35
Oregon,146,2,26
Indiana,113,4,38
Iowa,76,2,20
Illinois,68,4,16
Kansas,67,2,16
Oklahoma,66,3,30
Utah,66,2,20
Tennessee,54,4,29
Arkansas,51,3,19
Kentucky,49,4,25
Arizona,49,2,19
Missouri,43,1,13
Minnesota,43,2,9
Mississippi,41,4,38
Wisconsin,33,1,14
Maryland,29,2,14
Colorado,27,2,11
Virginia,23,6,23
Massachusetts,21,4,11
West Virginia,20,2,11
Nebraska,19,1,14
New Jersey,19,3,9
Connecticut,19,2,6
New York,18,3,10
South Dakota,5,1,5
Idaho,4,1,3
Wyoming,2,1,2
Montana,2,2,2
New Hampshire,2,1,1
Washington DC,1,1,1
