State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,346,15,98
Florida,298,8,83
Ohio,274,9,48
Georgia,231,4,42
Alabama,225,4,52
California,187,7,55
South Carolina,171,3,37
Washington,169,3,23
Louisiana,164,5,41
Pennsylvania,156,3,28
North Carolina,155,7,44
Oregon,148,2,27
Michigan,145,4,36
Indiana,112,4,36
Iowa,84,2,20
Oklahoma,66,3,31
Kentucky,65,4,26
Illinois,64,4,16
Utah,63,2,20
Tennessee,55,4,29
Arizona,52,2,18
Arkansas,51,3,19
Mississippi,46,4,37
Kansas,46,2,14
Missouri,45,1,14
Minnesota,44,2,10
Virginia,35,7,25
Wisconsin,35,1,15
Maryland,29,2,14
Colorado,29,2,11
Connecticut,24,2,5
West Virginia,22,2,11
New Jersey,21,2,8
Massachusetts,18,3,11
New York,18,3,10
Nebraska,15,1,14
South Dakota,10,2,6
New Hampshire,5,1,1
Idaho,3,1,3
Wyoming,2,1,2
Montana,2,2,2
North Dakota,1,1,1
Washington DC,1,1,1
