State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,341,14,94
Florida,337,8,86
Ohio,283,9,50
South Carolina,219,3,41
Georgia,212,4,42
Alabama,200,4,51
California,198,7,56
North Carolina,181,7,46
Washington,154,3,23
Michigan,148,3,35
Pennsylvania,148,3,28
Louisiana,144,5,41
Oregon,129,2,26
Indiana,104,4,36
Iowa,78,2,21
Utah,69,2,21
Oklahoma,65,3,29
Illinois,61,4,16
Kentucky,57,3,23
Arkansas,56,3,18
Colorado,56,2,12
Kansas,54,2,15
Arizona,53,2,19
Mississippi,48,4,40
Tennessee,45,4,29
Missouri,39,1,13
Minnesota,39,2,9
Wisconsin,38,1,14
West Virginia,32,2,11
Maryland,25,2,14
New Jersey,21,3,8
Virginia,20,5,20
Connecticut,19,2,6
Massachusetts,18,4,11
New York,16,3,10
Nebraska,13,1,13
South Dakota,6,1,5
Idaho,3,1,3
Wyoming,2,1,2
Montana,2,2,2
New Hampshire,2,1,1
