State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,340,14,78
Florida,258,8,69
Alabama,243,7,41
Washington,202,3,23
Georgia,185,4,29
Louisiana,181,5,34
Michigan,173,5,31
North Carolina,171,8,39
California,153,7,44
Oregon,151,2,18
South Carolina,148,5,31
Pennsylvania,146,3,24
Ohio,140,10,32
Indiana,101,4,26
Missouri,89,2,12
Iowa,80,3,12
Utah,75,2,18
Kentucky,66,4,22
Illinois,61,5,15
Oklahoma,57,3,22
Mississippi,55,4,34
Arizona,52,2,16
Kansas,52,2,11
West Virginia,39,2,8
Tennessee,37,4,21
Maryland,32,2,12
Minnesota,32,2,9
Connecticut,31,2,5
Virginia,28,6,21
Arkansas,24,3,14
Wisconsin,23,1,10
Colorado,22,3,10
Massachusetts,20,3,10
New Jersey,17,2,7
South Dakota,17,2,6
Nebraska,11,1,10
New York,8,3,8
New Hampshire,7,1,1
Idaho,4,2,4
Washington DC,2,1,2
Wyoming,2,1,2
Montana,2,2,2
North Dakota,2,1,1
Rhode Island,1,1,1
Canada,1,1,1
