State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,366,15,99
Florida,299,8,84
Ohio,270,9,44
Alabama,240,4,53
Georgia,225,3,39
California,183,7,55
Washington,181,3,23
North Carolina,179,7,44
South Carolina,170,3,35
Louisiana,168,5,41
Oregon,159,2,26
Pennsylvania,147,3,28
Michigan,139,4,38
Indiana,105,4,36
Kentucky,77,4,26
Iowa,66,2,20
Utah,65,2,20
Illinois,62,4,16
Missouri,59,1,15
Mississippi,56,4,39
Oklahoma,54,3,28
Arizona,53,2,19
Tennessee,44,4,28
Kansas,44,2,14
Virginia,42,7,26
Arkansas,35,3,18
Minnesota,35,2,10
Wisconsin,31,1,16
Colorado,26,2,11
Maryland,25,2,14
West Virginia,21,2,11
Connecticut,21,2,5
Massachusetts,18,3,11
New Jersey,17,2,8
New York,14,3,10
Nebraska,13,1,13
South Dakota,6,2,6
New Hampshire,5,1,1
Nevada,5,1,1
Idaho,3,1,3
Wyoming,2,1,2
Montana,2,2,2
New Mexico,2,1,1
North Dakota,1,1,1
Washington DC,1,1,1
