State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Ohio,322,8,46
Florida,319,8,81
Texas,302,13,81
Alabama,222,4,49
Georgia,211,4,39
South Carolina,208,3,38
California,184,7,51
Michigan,166,3,34
North Carolina,151,7,42
Pennsylvania,142,2,20
Louisiana,135,5,35
Washington,132,3,18
Oregon,105,2,23
Indiana,99,4,29
Utah,78,2,18
Iowa,76,2,18
Arizona,67,2,18
Illinois,63,4,15
Mississippi,61,4,37
Arkansas,56,3,16
Oklahoma,52,3,29
Tennessee,51,3,24
Kentucky,47,3,21
Wisconsin,46,1,13
Colorado,38,2,10
Kansas,36,2,10
Missouri,35,1,12
New Jersey,30,2,7
Virginia,28,5,20
Maryland,28,2,12
Minnesota,24,2,8
Massachusetts,22,3,9
West Virginia,21,2,8
New York,19,3,9
Connecticut,19,2,5
Nebraska,12,1,12
South Dakota,10,1,5
Idaho,3,1,3
Wyoming,2,1,2
Montana,2,2,2
