State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Ohio,420,7,42
Texas,341,11,62
Florida,316,6,72
South Carolina,237,3,34
California,212,7,43
Georgia,200,4,32
Alabama,197,4,44
Louisiana,121,4,30
North Carolina,120,6,32
Oregon,118,2,19
Washington,112,3,16
Indiana,102,4,26
Michigan,99,3,33
Oklahoma,85,3,27
Pennsylvania,83,2,17
Mississippi,70,4,35
Arkansas,56,2,13
Iowa,54,2,12
Kentucky,51,3,18
Arizona,49,2,14
Utah,46,2,11
Minnesota,36,1,7
Tennessee,34,3,21
Kansas,32,2,6
Wisconsin,30,1,11
Missouri,30,1,8
Virginia,29,5,20
Nebraska,28,1,13
Illinois,27,3,7
Colorado,27,2,7
New Jersey,23,1,4
Massachusetts,12,3,8
Maryland,12,2,8
Connecticut,12,2,3
West Virginia,11,2,7
New York,6,2,5
South Dakota,5,1,5
Idaho,3,1,3
Wyoming,2,1,2
Montana,2,2,2
