State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,339,15,88
Florida,287,7,76
Alabama,225,4,40
Washington,199,3,22
Georgia,192,4,32
Louisiana,183,5,41
North Carolina,180,7,41
California,164,7,48
South Carolina,164,3,33
Oregon,162,2,21
Pennsylvania,157,3,26
Michigan,145,4,30
Ohio,131,9,33
Indiana,100,4,28
Utah,80,2,18
Kentucky,74,4,23
Iowa,73,2,14
Illinois,71,4,16
Missouri,70,1,13
Kansas,57,2,12
Oklahoma,50,3,22
Arizona,50,2,16
Mississippi,49,4,33
Minnesota,40,2,10
Maryland,37,2,14
Tennessee,35,4,23
Virginia,35,6,22
Wisconsin,32,1,13
West Virginia,32,2,11
Arkansas,31,3,17
Colorado,27,3,11
Massachusetts,23,3,10
Connecticut,23,2,5
South Dakota,20,2,6
Nebraska,17,1,13
New Jersey,16,2,7
New York,10,3,9
Washington DC,6,1,2
New Hampshire,5,1,1
New Mexico,5,1,1
Idaho,3,1,3
Montana,2,2,2
North Dakota,1,1,1
Wyoming,1,1,1
