State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,351,15,102
Florida,287,8,83
Ohio,261,9,43
Alabama,244,4,50
Georgia,216,4,38
Washington,187,3,23
California,175,7,52
Louisiana,174,5,41
North Carolina,172,7,43
Oregon,164,2,25
South Carolina,161,3,34
Pennsylvania,153,3,28
Michigan,152,4,38
Indiana,105,4,34
Iowa,76,2,19
Kentucky,75,4,26
Utah,70,2,21
Missouri,62,1,15
Illinois,59,4,15
Mississippi,55,4,37
Oklahoma,53,3,28
Arizona,51,2,18
Kansas,47,2,14
Tennessee,41,4,27
Virginia,41,7,26
Minnesota,38,2,10
Wisconsin,30,1,15
West Virginia,30,2,11
Maryland,29,2,14
Colorado,28,2,11
Arkansas,26,3,16
Connecticut,23,2,5
Massachusetts,20,3,11
New Jersey,15,2,8
Nebraska,13,1,13
New York,10,3,9
South Dakota,6,2,6
New Hampshire,5,1,1
Idaho,3,1,3
Washington DC,2,1,2
Wyoming,2,1,2
Montana,2,2,2
North Dakota,1,1,1
New Mexico,1,1,1
