State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Florida,346,8,83
Ohio,313,9,48
Texas,306,14,86
Georgia,215,4,40
California,198,7,53
South Carolina,196,3,40
Alabama,192,4,50
North Carolina,166,7,44
Michigan,160,3,33
Pennsylvania,144,3,26
Louisiana,132,5,36
Washington,131,3,18
Oregon,98,2,25
Indiana,93,4,30
Iowa,87,2,19
Utah,71,2,20
Illinois,66,4,15
Mississippi,62,4,37
Arkansas,60,3,18
Oklahoma,58,3,29
Arizona,55,2,19
Kentucky,53,3,21
Colorado,52,2,12
Kansas,51,2,14
Tennessee,50,3,25
Wisconsin,47,1,14
Missouri,43,1,13
Minnesota,34,2,8
Maryland,26,2,12
Virginia,25,5,20
New Jersey,21,2,7
Massachusetts,20,3,9
New York,20,3,9
West Virginia,20,2,9
Connecticut,19,2,6
Nebraska,18,1,13
South Dakota,9,1,5
New Hampshire,5,1,1
Idaho,3,1,3
Wyoming,2,1,2
Montana,2,2,2
