State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,358,15,97
Florida,285,8,79
Ohio,231,9,40
Alabama,225,4,43
Washington,205,3,24
Georgia,189,4,33
Louisiana,179,5,41
North Carolina,176,7,41
California,164,7,49
South Carolina,160,3,33
Oregon,157,2,22
Michigan,153,4,37
Pennsylvania,153,3,26
Indiana,106,4,30
Utah,73,2,20
Kentucky,69,4,23
Iowa,68,2,16
Illinois,65,4,16
Missouri,60,1,14
Oklahoma,56,3,23
Arizona,51,2,16
Mississippi,46,4,34
Virginia,44,7,24
Kansas,44,2,12
Minnesota,37,2,10
Tennessee,36,4,24
Maryland,34,2,13
Arkansas,31,3,17
West Virginia,30,2,12
Wisconsin,28,1,13
Colorado,26,3,11
Connecticut,23,2,5
Massachusetts,17,3,10
New Jersey,17,2,8
Nebraska,13,1,13
South Dakota,12,2,6
New York,10,3,9
New Hampshire,5,1,1
New Mexico,5,1,1
Idaho,3,1,3
Washington DC,2,1,2
Montana,2,2,2
North Dakota,1,1,1
Wyoming,1,1,1
