State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,350,14,78
Florida,260,8,69
Alabama,251,6,42
Washington,210,3,23
Georgia,182,4,29
Louisiana,181,5,34
Michigan,167,5,31
North Carolina,162,8,39
California,161,7,44
Pennsylvania,157,3,25
Oregon,157,2,18
South Carolina,146,4,30
Ohio,124,10,31
Indiana,100,4,26
Utah,72,2,18
Iowa,71,3,12
Kentucky,66,4,23
Illinois,65,5,15
Missouri,65,2,12
Mississippi,60,4,33
Kansas,57,2,11
Arizona,56,2,16
Oklahoma,52,3,23
Tennessee,41,4,21
Maryland,33,2,12
Minnesota,32,2,9
West Virginia,32,2,8
Connecticut,32,2,5
Virginia,31,6,21
Arkansas,25,3,14
Massachusetts,24,3,10
Colorado,22,3,10
Wisconsin,20,1,10
South Dakota,20,2,6
New Jersey,19,2,8
Nebraska,11,1,10
New York,9,3,8
New Hampshire,6,1,1
Idaho,5,2,4
Washington DC,2,1,2
Wyoming,2,1,2
Montana,2,2,2
Rhode Island,1,1,1
North Dakota,1,1,1
Canada,1,1,1
