State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Ohio,365,8,46
Florida,318,7,76
Texas,317,13,74
Alabama,252,4,48
Georgia,189,4,35
South Carolina,188,3,36
California,172,7,49
Washington,144,3,17
North Carolina,138,7,38
Michigan,130,3,34
Louisiana,129,5,33
Oregon,119,2,21
Pennsylvania,111,2,18
Indiana,100,4,27
Utah,78,2,13
Oklahoma,77,3,28
Iowa,77,2,13
Kansas,58,2,7
Arkansas,57,3,14
Illinois,55,4,11
Mississippi,52,4,36
Tennessee,51,3,24
Virginia,47,5,20
Wisconsin,43,1,11
Arizona,37,2,14
Kentucky,35,3,19
New Jersey,28,2,6
Colorado,27,2,9
Missouri,24,1,10
Minnesota,23,1,7
Nebraska,21,1,13
New York,20,2,7
Massachusetts,17,3,8
Maryland,15,2,9
West Virginia,13,2,8
Connecticut,8,2,3
South Dakota,7,1,5
Idaho,3,1,3
Montana,2,2,2
Wyoming,2,1,2
