State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Ohio,368,8,46
Florida,319,8,76
Texas,299,13,75
Alabama,233,4,48
South Carolina,204,3,36
Georgia,201,4,36
California,187,7,49
Michigan,145,3,34
Washington,145,3,17
North Carolina,139,7,39
Louisiana,119,5,33
Pennsylvania,118,2,18
Oregon,103,2,21
Indiana,94,4,26
Iowa,75,2,14
Utah,74,2,13
Oklahoma,67,3,28
Illinois,59,4,12
Arkansas,58,3,15
Mississippi,56,4,36
Kansas,55,2,7
Arizona,54,2,16
Wisconsin,45,1,12
Tennessee,38,3,23
Virginia,38,5,20
Missouri,32,1,12
Kentucky,29,3,19
Minnesota,29,1,7
New York,28,3,9
Nebraska,24,1,12
Colorado,24,2,9
Maryland,23,2,10
New Jersey,20,2,6
Massachusetts,18,3,8
West Virginia,14,2,8
Connecticut,12,2,3
South Dakota,7,1,5
Idaho,3,1,3
Montana,2,2,2
Wyoming,2,1,2
