State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,348,15,96
Florida,304,8,86
Ohio,288,9,50
Georgia,228,4,42
South Carolina,221,3,41
Alabama,219,4,51
California,198,7,56
North Carolina,182,7,46
Washington,172,3,24
Michigan,149,3,35
Pennsylvania,149,3,28
Louisiana,146,5,41
Oregon,133,2,26
Indiana,99,4,37
Iowa,74,2,21
Oklahoma,69,3,29
Utah,65,2,21
Illinois,61,4,16
Arkansas,57,3,18
Arizona,55,2,19
Kentucky,52,3,23
Colorado,52,2,12
Tennessee,47,4,29
Mississippi,44,4,40
Kansas,42,2,15
Minnesota,39,2,9
Missouri,38,1,13
Wisconsin,31,1,14
West Virginia,27,2,11
Maryland,25,2,14
New Jersey,23,3,8
Virginia,21,6,21
Massachusetts,20,4,11
Connecticut,19,2,6
New York,16,3,10
Nebraska,13,1,13
South Dakota,6,1,5
Idaho,3,1,3
Wyoming,2,1,2
Montana,2,2,2
New Hampshire,1,1,1
