State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Ohio,370,8,46
Florida,314,8,77
Texas,297,13,74
Alabama,234,4,48
South Carolina,205,3,36
Georgia,188,4,36
California,185,7,49
North Carolina,148,7,39
Washington,141,3,17
Michigan,135,3,34
Pennsylvania,119,2,18
Louisiana,118,5,33
Oregon,106,2,21
Indiana,103,4,27
Iowa,76,2,14
Utah,76,2,13
Oklahoma,73,3,28
Arkansas,65,3,15
Mississippi,59,4,36
Illinois,57,4,11
Kansas,53,2,7
Virginia,43,5,19
Wisconsin,43,1,11
Tennessee,42,3,24
Arizona,41,2,14
Missouri,35,1,12
Kentucky,34,3,19
Colorado,25,2,9
Minnesota,25,1,7
Maryland,22,2,9
New York,22,2,7
New Jersey,20,2,6
Nebraska,18,1,12
Massachusetts,18,3,8
West Virginia,16,2,8
South Dakota,13,1,5
Connecticut,7,2,3
Idaho,3,1,3
Montana,3,2,2
Wyoming,2,1,2
