State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,339,16,79
Florida,240,7,50
Alabama,225,6,28
Washington,198,2,22
North Carolina,177,7,37
Georgia,172,4,18
Louisiana,168,5,22
Michigan,166,4,30
California,158,7,40
Oregon,156,2,19
Pennsylvania,149,3,24
South Carolina,131,4,19
Ohio,127,10,26
Indiana,100,4,24
Missouri,85,2,12
Kentucky,77,4,20
Utah,67,2,15
Iowa,67,3,8
Illinois,59,4,13
Kansas,51,2,10
Mississippi,50,4,30
Oklahoma,47,3,13
Arizona,47,2,8
Tennessee,45,4,23
West Virginia,38,2,9
Minnesota,33,2,9
Virginia,29,5,21
Maryland,27,3,13
Connecticut,27,2,5
Wisconsin,24,1,10
Arkansas,23,1,8
South Dakota,23,2,6
Massachusetts,22,3,9
Colorado,18,3,6
New Jersey,15,2,6
Nebraska,10,1,10
New York,7,2,7
New Hampshire,6,1,1
Idaho,3,2,3
Wyoming,2,1,2
Montana,2,2,2
Washington DC,2,1,1
Canada,2,1,1
North Dakota,1,1,1
Rhode Island,1,1,1
