State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,360,15,98
Florida,300,8,83
Ohio,274,9,44
Alabama,236,4,52
Georgia,226,3,40
California,189,7,55
South Carolina,172,3,35
Washington,169,3,23
Louisiana,162,5,41
North Carolina,161,7,44
Oregon,157,2,26
Michigan,151,4,36
Pennsylvania,149,3,28
Indiana,106,4,36
Iowa,75,2,20
Illinois,66,4,16
Kentucky,63,4,26
Utah,63,2,20
Mississippi,58,4,38
Arizona,58,2,19
Oklahoma,57,3,29
Tennessee,54,4,29
Missouri,53,1,14
Kansas,40,2,14
Minnesota,39,2,10
Arkansas,37,3,18
Virginia,36,7,25
Wisconsin,32,1,15
Colorado,29,2,11
Maryland,28,2,14
Connecticut,21,2,5
West Virginia,20,2,11
Massachusetts,18,3,11
New Jersey,16,2,8
New York,15,3,10
Nebraska,14,1,14
South Dakota,7,2,6
New Mexico,5,1,1
New Hampshire,5,1,1
Idaho,3,1,3
Wyoming,2,1,2
Montana,2,2,2
North Dakota,1,1,1
Washington DC,1,1,1
