State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Ohio,398,7,41
Alabama,311,4,40
Florida,295,6,67
Texas,262,11,61
South Carolina,223,3,34
California,181,6,42
Georgia,171,4,31
North Carolina,160,6,32
Washington,157,3,17
Michigan,143,3,33
Louisiana,111,4,29
Mississippi,91,4,33
Oregon,91,2,19
Indiana,84,4,26
Pennsylvania,81,2,16
Oklahoma,66,3,26
Utah,58,2,11
Arkansas,53,2,13
Missouri,52,1,8
Arizona,48,2,14
Iowa,48,2,12
Kansas,48,2,6
Wisconsin,47,1,11
Virginia,46,5,20
Kentucky,34,3,17
Minnesota,32,1,7
Tennessee,27,3,21
Colorado,26,2,7
Nebraska,22,1,10
West Virginia,21,2,6
Illinois,15,3,6
South Dakota,11,1,4
Massachusetts,8,3,7
Maryland,8,2,7
New York,5,2,5
New Jersey,4,1,4
Idaho,3,1,3
Connecticut,2,2,2
Montana,2,2,2
Wyoming,1,1,1
