State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Florida,349,8,83
Texas,323,14,89
Ohio,310,9,48
Georgia,217,4,40
California,194,7,53
South Carolina,194,3,40
Alabama,187,4,50
North Carolina,170,7,45
Pennsylvania,154,3,27
Michigan,153,3,33
Washington,134,3,19
Louisiana,127,5,36
Oregon,106,2,25
Indiana,93,4,31
Iowa,84,2,19
Utah,73,2,20
Illinois,65,4,15
Arizona,62,2,19
Arkansas,59,3,18
Mississippi,57,4,37
Kansas,54,2,14
Oklahoma,53,3,29
Kentucky,52,3,22
Tennessee,50,4,27
Colorado,48,2,12
Wisconsin,46,1,14
Missouri,42,1,13
Minnesota,34,2,8
Virginia,27,5,20
Maryland,26,2,12
West Virginia,23,2,9
New Jersey,22,2,7
Massachusetts,20,3,9
Connecticut,20,2,6
New York,19,3,9
Nebraska,14,1,13
South Dakota,9,1,5
Idaho,3,1,3
Wyoming,2,1,2
Montana,2,2,2
New Hampshire,2,1,1
