State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Florida,339,8,84
Texas,332,14,90
Ohio,304,9,49
Georgia,225,4,41
South Carolina,213,3,39
California,189,7,54
Alabama,181,4,50
North Carolina,177,7,45
Pennsylvania,157,3,27
Washington,145,3,21
Michigan,142,3,33
Louisiana,131,5,37
Oregon,110,2,25
Indiana,88,4,31
Iowa,80,2,19
Utah,67,2,20
Illinois,65,4,15
Arizona,61,2,19
Mississippi,57,4,37
Oklahoma,55,3,29
Arkansas,55,3,18
Kansas,53,2,14
Kentucky,52,3,22
Tennessee,48,4,27
Colorado,48,2,12
Wisconsin,46,1,14
Missouri,40,1,13
Minnesota,39,2,8
Virginia,28,5,20
Maryland,27,2,12
West Virginia,22,2,9
Connecticut,22,2,6
New York,20,3,9
Massachusetts,19,3,9
New Jersey,17,2,7
Nebraska,14,1,13
South Dakota,9,1,5
Idaho,3,1,3
Wyoming,2,1,2
Montana,2,2,2
New Hampshire,2,1,1
