State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,357,14,94
Florida,337,8,84
Ohio,296,9,49
Georgia,213,4,42
South Carolina,209,3,40
Alabama,203,4,51
California,194,7,56
North Carolina,159,7,45
Michigan,150,3,35
Washington,142,3,22
Louisiana,139,5,41
Pennsylvania,138,3,27
Oregon,124,2,26
Indiana,108,4,36
Iowa,77,2,21
Illinois,70,4,16
Utah,69,2,21
Oklahoma,58,3,29
Kentucky,58,3,22
Tennessee,56,4,29
Arkansas,55,3,18
Colorado,55,2,12
Mississippi,53,4,40
Kansas,52,2,15
Arizona,49,2,19
Wisconsin,41,1,14
Missouri,40,1,13
Minnesota,35,2,9
Maryland,30,2,14
West Virginia,25,2,10
Virginia,22,5,20
Connecticut,22,2,6
Massachusetts,20,4,11
New York,20,3,10
New Jersey,18,3,8
Nebraska,14,1,13
South Dakota,9,1,5
Idaho,3,1,3
Wyoming,2,1,2
Montana,2,2,2
New Hampshire,2,1,1
