State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Florida,354,8,83
Texas,315,14,86
Ohio,306,9,47
Georgia,217,4,39
South Carolina,201,3,40
California,188,7,51
Alabama,187,4,50
North Carolina,159,7,43
Michigan,155,3,33
Pennsylvania,155,3,26
Washington,133,3,18
Louisiana,128,5,36
Oregon,113,2,25
Indiana,100,4,30
Iowa,82,2,19
Utah,68,2,20
Kansas,67,2,14
Illinois,63,4,15
Arkansas,61,3,18
Oklahoma,57,3,29
Arizona,55,2,19
Tennessee,52,3,25
Mississippi,51,4,37
Wisconsin,51,1,14
Colorado,46,2,12
Missouri,44,1,13
Kentucky,41,3,21
Minnesota,35,2,8
Virginia,27,5,20
Nebraska,25,1,13
Maryland,25,2,12
New York,22,3,9
Massachusetts,18,3,9
West Virginia,16,2,9
New Jersey,16,2,7
Connecticut,16,2,5
South Dakota,5,1,5
Idaho,4,1,3
Wyoming,2,1,2
Montana,2,2,2
