State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Florida,354,8,83
Texas,315,14,86
Ohio,314,9,47
Georgia,217,4,39
South Carolina,192,3,38
California,191,7,51
Alabama,189,4,50
Michigan,160,3,33
North Carolina,156,7,43
Pennsylvania,154,3,26
Washington,133,3,18
Louisiana,127,5,36
Oregon,108,2,25
Indiana,95,4,30
Iowa,80,2,18
Utah,69,2,20
Kansas,66,2,13
Illinois,64,4,15
Arkansas,63,3,18
Oklahoma,60,3,29
Arizona,56,2,19
Mississippi,53,4,37
Wisconsin,51,1,14
Tennessee,49,3,25
Missouri,44,1,13
Kentucky,42,3,21
Colorado,42,2,12
Minnesota,35,2,8
Virginia,26,5,20
Maryland,26,2,12
Nebraska,25,1,13
New York,22,3,9
Massachusetts,18,3,9
West Virginia,16,2,8
New Jersey,16,2,7
Connecticut,16,2,5
South Dakota,5,1,5
Idaho,4,1,3
Wyoming,2,1,2
Montana,2,2,2
