State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Florida,348,8,83
Ohio,315,9,48
Texas,310,14,87
Georgia,211,4,40
Alabama,192,4,50
California,190,7,53
South Carolina,188,3,40
North Carolina,175,7,44
Michigan,160,3,33
Pennsylvania,147,3,26
Louisiana,131,5,36
Washington,131,3,18
Oregon,103,2,25
Indiana,93,4,30
Iowa,85,2,19
Utah,71,2,20
Illinois,66,4,15
Mississippi,62,4,37
Arkansas,60,3,18
Oklahoma,58,3,29
Arizona,54,2,19
Kentucky,53,3,21
Tennessee,51,4,26
Kansas,51,2,14
Colorado,51,2,12
Wisconsin,47,1,14
Missouri,40,1,13
Minnesota,39,2,8
Virginia,27,5,20
Maryland,26,2,12
West Virginia,22,2,9
Massachusetts,20,3,9
New York,20,3,9
Connecticut,19,2,6
Nebraska,18,1,13
New Jersey,16,2,7
South Dakota,9,1,5
New Hampshire,5,1,1
Idaho,3,1,3
Wyoming,2,1,2
Montana,2,2,2
