State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,357,14,94
Florida,335,8,84
Ohio,283,9,49
Georgia,213,4,42
South Carolina,212,3,40
Alabama,205,4,51
California,196,7,56
North Carolina,169,7,45
Michigan,152,3,35
Louisiana,150,5,41
Washington,141,3,22
Pennsylvania,138,3,27
Oregon,129,2,26
Indiana,108,4,36
Iowa,77,2,21
Utah,69,2,21
Illinois,65,4,16
Oklahoma,58,3,29
Kentucky,58,3,22
Colorado,55,2,12
Arkansas,54,3,18
Mississippi,53,4,40
Tennessee,52,4,29
Arizona,49,2,19
Kansas,46,2,15
Missouri,40,1,13
Wisconsin,39,1,14
Minnesota,35,2,9
Maryland,30,2,14
West Virginia,25,2,10
Virginia,22,5,20
Connecticut,21,2,6
Massachusetts,20,4,11
New York,20,3,10
New Jersey,18,3,8
Nebraska,14,1,13
South Dakota,9,1,5
Idaho,3,1,3
Wyoming,2,1,2
Montana,2,2,2
New Hampshire,2,1,1
