State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,330,14,76
Florida,269,7,66
Alabama,247,4,40
Washington,206,3,23
Georgia,176,4,29
Louisiana,175,5,34
Michigan,167,5,30
Pennsylvania,163,3,25
North Carolina,160,7,37
Oregon,157,2,18
California,156,6,43
South Carolina,151,4,30
Ohio,128,10,32
Indiana,102,4,26
Utah,70,2,16
Illinois,70,5,15
Iowa,68,2,10
Missouri,67,1,11
Kentucky,62,4,21
Kansas,58,2,11
Arizona,55,2,16
Mississippi,52,4,32
Oklahoma,52,3,23
Tennessee,43,4,21
Virginia,34,6,21
Minnesota,33,2,9
Maryland,32,2,12
West Virginia,29,2,7
Colorado,28,3,10
Connecticut,28,2,5
Arkansas,25,3,14
Massachusetts,25,3,11
Wisconsin,23,1,10
South Dakota,19,2,6
New Jersey,17,2,8
Nebraska,14,1,10
New York,8,3,7
Idaho,8,2,4
New Hampshire,6,1,1
Washington DC,4,1,2
Montana,2,2,2
North Dakota,1,1,1
Wyoming,1,1,1
