School,Conference,ProjectedPoints,NumberOfProspects
Alabama,SEC,321,16
Ohio State,Big Ten,283,14
LSU,SEC,218,11
Clemson,ACC,185,9
USC,Pac 12,172,9
Georgia,SEC,138,9
Oregon,Pac 12,80,6
North Carolina,ACC,75,4
Texas A&M,SEC,73,6
Miami (FL),ACC,71,4
Florida,SEC,69,5
Notre Dame,FBS - Independent,60,4
Oklahoma,Big 12,58,4
Texas,Big 12,58,3
Maryland,Big Ten,50,2
Michigan,Big Ten,45,3
Wisconsin,Big Ten,37,2
Auburn,SEC,30,2
Arizona State,Pac 12,30,2
Washington,Pac 12,30,1
Penn State,Big Ten,25,2
Pitt,ACC,20,1
Nebraska,Big Ten,17,2
Utah,Pac 12,15,1
Iowa,Big Ten,10,1
Kansas State,Big 12,10,1
Arizona,Pac 12,8,1
Tennessee,SEC,8,1
Florida State,ACC,8,1
Oklahoma State,Big 12,7,1
