School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Ohio State,Big Ten,188,25,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
Alabama,SEC,179,21,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Washington,Pac 12,173,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington.svg
Georgia,SEC,170,22,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Florida State,ACC,157,26,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_st.svg
LSU,SEC,155,30,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Texas,Big 12,154,21,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas.svg
Michigan,Big Ten,135,25,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
Penn State,Big Ten,125,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
Oregon,Pac 12,112,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
Clemson,ACC,110,20,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
USC,Pac 12,95,25,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
Notre Dame,FBS - Independent,92,21,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
North Carolina,ACC,90,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_carolina.svg
Miami (FL),ACC,84,19,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/miami.svg
Texas A&M,SEC,71,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
Missouri,SEC,60,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/missouri.svg
Illinois,Big Ten,60,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/illinois.svg
UCLA,Pac 12,55,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ucla.svg
South Carolina,SEC,48,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_carolina.svg
Iowa,Big Ten,48,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa.svg
