School,Conference,ProjectedPoints,NumberOfProspects
Alabama,SEC,356,16
Ohio State,Big Ten,293,13
Georgia,SEC,180,9
LSU,SEC,165,10
Clemson,ACC,158,9
Oklahoma,Big 12,125,6
USC,Pac 12,111,6
Florida,SEC,85,4
Miami (FL),ACC,78,4
Oregon,Pac 12,75,6
North Carolina,ACC,60,4
Notre Dame,FBS - Independent,60,3
Texas,Big 12,55,2
Maryland,Big Ten,45,2
Texas A&M,SEC,45,2
Michigan,Big Ten,43,3
Auburn,SEC,40,2
Wisconsin,Big Ten,20,1
Penn State,Big Ten,18,2
Arizona State,Pac 12,18,2
Pitt,ACC,15,1
Nebraska,Big Ten,10,1
Washington,Pac 12,10,1
Utah,Pac 12,10,1
