School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Alabama,SEC,188,20,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Washington,Pac 12,178,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington.svg
Georgia,SEC,162,19,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Michigan,Big Ten,148,18,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
LSU,SEC,147,23,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Florida State,ACC,145,21,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_st.svg
Texas,Big 12,139,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas.svg
Penn State,Big Ten,133,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
Oregon,Pac 12,116,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
Clemson,ACC,104,18,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
USC,Pac 12,92,22,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
Notre Dame,FBS - Independent,92,18,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
Ohio State,Big Ten,86,18,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
North Carolina,ACC,77,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_carolina.svg
Miami (FL),ACC,74,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/miami.svg
Missouri,SEC,67,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/missouri.svg
Illinois,Big Ten,63,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/illinois.svg
UCLA,Pac 12,53,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ucla.svg
Texas A&M,SEC,52,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
Arizona,Pac 12,47,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arizona.svg
Oklahoma,Big 12,45,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
South Carolina,SEC,44,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_carolina.svg
Utah,Pac 12,44,9,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utah.svg
Iowa,Big Ten,44,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa.svg
Duke,ACC,42,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/duke.svg
Oregon State,Pac 12,41,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon_st.svg
Auburn,SEC,40,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/auburn.svg
TCU,Big 12,40,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tcu.svg
Houston,FBS - AAC,33,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/houston.svg
Kansas State,Big 12,33,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kansas_st.svg
Minnesota,Big Ten,32,8,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/minnesota.svg
Maryland,Big Ten,31,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/maryland.svg
Tennessee,SEC,29,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tennessee.svg
Washington State,Pac 12,27,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington_st.svg
Florida,SEC,26,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida.svg
BYU,FBS - Independent,26,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/byu.svg
Kansas,Big 12,25,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kansas.svg
