School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Ohio State,Big Ten,261,31,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ohio_st.svg
Georgia,SEC,207,29,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia.svg
Florida State,ACC,167,25,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_st.svg
Clemson,ACC,162,26,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/clemson.svg
Alabama,SEC,154,31,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama.svg
Michigan,Big Ten,145,23,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan.svg
Penn State,Big Ten,128,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/penn_st.svg
Texas,Big 12,126,16,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas.svg
USC,Pac 12,122,25,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/usc.svg
Washington,Pac 12,117,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington.svg
LSU,SEC,116,28,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lsu.svg
Miami (FL),ACC,113,22,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/miami.svg
Oregon,Pac 12,101,20,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon.svg
Notre Dame,FBS - Independent,82,20,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/notre_dame.svg
Texas A&M,SEC,80,19,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_a&amp;m.svg
North Carolina,ACC,69,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_carolina.svg
Iowa,Big Ten,62,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/iowa.svg
Arkansas,SEC,58,15,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arkansas.svg
Illinois,Big Ten,58,10,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/illinois.svg
Wisconsin,Big Ten,51,14,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wisconsin.svg
UCLA,Pac 12,50,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ucla.svg
Oklahoma,Big 12,48,21,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma.svg
Missouri,SEC,44,13,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/missouri.svg
Kansas State,Big 12,43,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/kansas_st.svg
TCU,Big 12,41,11,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tcu.svg
Florida,SEC,40,17,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida.svg
Duke,ACC,40,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/duke.svg
Utah,Pac 12,36,12,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utah.svg
