School,Conference,ProjectedPoints,NumberOfProspects
Ohio State,Big Ten,321,15
Alabama,SEC,311,16
LSU,SEC,160,10
Clemson,ACC,158,9
Georgia,SEC,158,9
Texas A&M,SEC,130,5
Oklahoma,Big 12,123,6
USC,Pac 12,121,7
Notre Dame,FBS - Independent,85,4
Miami (FL),ACC,81,4
Florida,SEC,68,4
Oregon,Pac 12,56,6
Texas,Big 12,55,2
North Carolina,ACC,46,4
Wisconsin,Big Ten,45,2
Auburn,SEC,45,2
Michigan,Big Ten,33,3
Maryland,Big Ten,30,2
Iowa,Big Ten,30,1
Oklahoma State,Big 12,25,1
Penn State,Big Ten,18,2
Arizona State,Pac 12,16,2
Pitt,ACC,10,1
Nebraska,Big Ten,10,1
Washington,Pac 12,10,1
Utah,Pac 12,10,1
