Rank,Player Name,Position,College
1,Rueben Bain,EDGE,Miami (FL)
2,Fernando Mendoza,QB,Indiana
3,Arvell Reese,LB,Ohio State
4,Ty Simpson,QB,Alabama
5,Dante Moore,QB,Oregon
6,Caleb Downs,S,Ohio State
7,Jordyn Tyson,WR,Arizona State
8,Spencer Fano,OT,Utah
9,Peter Woods,DL,Clemson
10,Francis Mauigoa,OT,Miami (FL)
11,Keldric Faulk,EDGE,Auburn
12,Carnell Tate,WR,Ohio State
13,Jeremiyah Love,RB,Notre Dame
14,Mansoor Delane,CB,LSU
15,Jermod McCoy,CB,Tennessee
16,Kadyn Proctor,OT,Alabama
17,T.J. Parker,EDGE,Clemson
18,LaNorris Sellers,QB,South Carolina
19,David Bailey,EDGE,Texas Tech
20,Kenyon Sadiq,TE,Oregon
21,Makai Lemon,WR,USC
22,Avieon Terrell,CB,Clemson
23,Sonny Styles,LB,Ohio State
24,Caleb Lomu,OT,Utah
25,Cashius Howell,EDGE,Texas A&M
26,Olaivavega Ioane,IOL,Penn State
27,Garrett Nussmeier,QB,LSU
28,Matayo Uiagalelei,EDGE,Oregon
29,C.J. Allen,LB,Georgia
30,Denzel Boston,WR,Washington
31,Chris Bell,WR,Louisville
32,Colton Hood,CB,Tennessee
33,Caleb Banks,DL,Florida
34,Kevin Concepcion,WR,Texas A&M
35,L.T. Overton,EDGE,Alabama
36,Chris Brazzell,WR,Tennessee
37,R Mason Thomas,EDGE,Oklahoma
38,A'Mauri Washington,DL,Oregon
39,Anthony Hill Jr.,LB,Texas
40,Romello Height,EDGE,Texas Tech
41,Gennings Dunker,OT,Iowa
42,Jayden Maiava,QB,USC
43,Zion Young,EDGE,Missouri
44,Kayden McDonald,DL,Ohio State
45,Quincy Rhodes Jr.,EDGE,Arkansas
46,Joshua Josephs,EDGE,Tennessee
47,A.J. Harris,CB,Penn State
48,Christen Miller,DL,Georgia
49,Brandon Cisse,CB,South Carolina
50,Isaiah World,OT,Oregon
51,Emmanuel Pregnon,IOL,Oregon
52,Malik Muhammad,CB,Texas
53,Connor Lew,IOL,Auburn
54,Dillon Thieneman,S,Oregon
55,Germie Bernard,WR,Alabama
56,Cade Klubnik,QB,Clemson
57,Keith Abney II,CB,Arizona State
58,John Mateer,QB,Oklahoma
59,Blake Miller,OT,Clemson
60,Chris Johnson,CB,San Diego State
61,Justice Haynes,RB,Michigan
62,Domonique Orange,DL,Iowa State
63,Ja'Kobi Lane,WR,USC
64,Caleb Tiernan,OT,Northwestern
65,Kamari Ramsey,S,USC
66,Rylan Kennedy,EDGE,Texas A&M
67,Darian Mensah,QB,Duke
68,Trevor Goosby,OT,Texas
69,Elijah Sarratt,WR,Indiana
70,Davison Igbinosun,CB,Ohio State
71,Michael Trigg,TE,Baylor
72,Jonah Coleman,RB,Washington
73,Dani Dennis-Sutton,EDGE,Penn State
74,Emmanuel McNeil-Warren,S,Toledo
75,Brian Parker II,OT,Duke
76,Drew Allar,QB,Penn State
77,Max Klare,TE,Ohio State
78,Jake Slaughter,IOL,Florida
79,Skyler Bell,WR,UConn
80,Gabe Jacas,EDGE,Illinois
81,Jalon Kilgore,S,South Carolina
82,Antonio Williams,WR,Clemson
83,Damon Wilson Jr.,EDGE,Missouri
84,Eric Singleton Jr.,WR,Auburn
85,Jake Golday,LB,Cincinnati
86,Deontae Lawson,LB,Alabama
87,Malachi Fields,WR,Notre Dame
88,Austin Siereveld,OT,Ohio State
89,Zakee Wheatley,S,Penn State
90,Will Lee III,CB,Texas A&M
91,DJ McKinney,CB,Colorado
92,Trebor Pena,WR,Penn State
93,Dontay Corleone,DL,Cincinnati
94,Chase Bisontis,IOL,Texas A&M
95,Deion Burks,WR,Oklahoma
96,Jaishawn Barham,LB,Michigan
97,D'angelo Ponds,CB,Indiana
98,Iapani Laloulu,IOL,Oregon
99,Carson Beck,QB,Miami (FL)
100,Taurean York,LB,Texas A&M
101,Brendan Sorsby,QB,Cincinnati
102,Cooper Barkate,WR,Duke
103,Harold Perkins,LB,LSU
104,Whit Weeks,LB,LSU
105,Jack Endries,TE,Texas
106,Jadarian Price,RB,Notre Dame
107,Parker Brailsford,IOL,Alabama
108,Mateen Ibirogba,DL,Wake Forest
109,Domani Jackson,CB,Alabama
110,Xavier Chaplin,OT,Auburn
111,Cayden Green,OT,Missouri
112,Darrell Jackson Jr.,DL,Florida State
113,Zachariah Branch,WR,Georgia
114,Austin Barber,OT,Florida
115,Chandler Rivers,CB,Duke
116,Omar Cooper Jr.,WR,Indiana
117,Nick Singleton,RB,Penn State
118,Tyreak Sapp,EDGE,Florida
119,A.J. Haulcy,S,LSU
120,Genesis Smith,S,Arizona
121,Xavier Scott,S,Illinois
