Rank,Player Name,Position,College
1,Fernando Mendoza,QB,Indiana
2,Rueben Bain,EDGE,Miami (FL)
3,Dante Moore,QB,Oregon
4,Caleb Downs,S,Ohio State
5,LaNorris Sellers,QB,South Carolina
6,Ty Simpson,QB,Alabama
7,Spencer Fano,OT,Utah
8,Jordyn Tyson,WR,Arizona State
9,Keldric Faulk,EDGE,Auburn
10,Garrett Nussmeier,QB,LSU
11,Peter Woods,DL,Clemson
12,Francis Mauigoa,OT,Miami (FL)
13,Arvell Reese,LB,Ohio State
14,T.J. Parker,EDGE,Clemson
15,Jeremiyah Love,RB,Notre Dame
16,Kadyn Proctor,OT,Alabama
17,Mansoor Delane,CB,LSU
18,Carnell Tate,WR,Ohio State
19,Makai Lemon,WR,USC
20,Jermod McCoy,CB,Tennessee
21,Caleb Lomu,OT,Utah
22,Kenyon Sadiq,TE,Oregon
23,Avieon Terrell,CB,Clemson
24,David Bailey,EDGE,Texas Tech
25,Matayo Uiagalelei,EDGE,Oregon
26,C.J. Allen,LB,Georgia
27,Denzel Boston,WR,Washington
28,L.T. Overton,EDGE,Alabama
29,Olaivavega Ioane,IOL,Penn State
30,Sonny Styles,LB,Ohio State
31,Caleb Banks,DL,Florida
32,Cashius Howell,EDGE,Texas A&M
33,Anthony Hill Jr.,LB,Texas
34,Colton Hood,CB,Tennessee
35,Isaiah World,OT,Oregon
36,Connor Lew,IOL,Auburn
37,A'Mauri Washington,DL,Oregon
38,Gennings Dunker,OT,Iowa
39,Cade Klubnik,QB,Clemson
40,Trevor Goosby,OT,Texas
41,Chris Bell,WR,Louisville
42,Kevin Concepcion,WR,Texas A&M
43,Chris Brazzell,WR,Tennessee
44,John Mateer,QB,Oklahoma
45,Dani Dennis-Sutton,EDGE,Penn State
46,Christen Miller,DL,Georgia
47,A.J. Harris,CB,Penn State
48,Germie Bernard,WR,Alabama
49,Justice Haynes,RB,Michigan
50,Joshua Josephs,EDGE,Tennessee
51,Xavier Chaplin,OT,Auburn
52,Dillon Thieneman,S,Oregon
53,Kamari Ramsey,S,USC
54,Davison Igbinosun,CB,Ohio State
55,Drew Allar,QB,Penn State
56,Liam Becher,IOL,North Dakota
57,Romello Height,EDGE,Texas Tech
58,Keith Abney II,CB,Arizona State
59,R Mason Thomas,EDGE,Oklahoma
60,Ja'Kobi Lane,WR,USC
61,Jonah Coleman,RB,Washington
62,Antonio Williams,WR,Clemson
