Rank,Player Name,Position,College
1,Garrett Nussmeier,QB,LSU
2,LaNorris Sellers,QB,South Carolina
3,Rueben Bain,EDGE,Miami (FL)
4,Caleb Downs,S,Ohio State
5,Fernando Mendoza,QB,Indiana
6,Peter Woods,DL,Clemson
7,Spencer Fano,OT,Utah
8,Francis Mauigoa,OT,Miami (FL)
9,Keldric Faulk,EDGE,Auburn
10,T.J. Parker,EDGE,Clemson
11,Jordyn Tyson,WR,Arizona State
12,Kadyn Proctor,OT,Alabama
13,Jermod McCoy,CB,Tennessee
14,Jeremiyah Love,RB,Notre Dame
15,Cade Klubnik,QB,Clemson
16,Dante Moore,QB,Oregon
17,Drew Allar,QB,Penn State
18,Caleb Lomu,OT,Utah
19,Mansoor Delane,CB,LSU
20,Anthony Hill Jr.,LB,Texas
21,Avieon Terrell,CB,Clemson
22,Carnell Tate,WR,Ohio State
23,Kenyon Sadiq,TE,Oregon
24,John Mateer,QB,Oklahoma
25,Isaiah World,OT,Oregon
26,Caleb Banks,DL,Florida
27,Sonny Styles,LB,Ohio State
28,Matayo Uiagalelei,EDGE,Oregon
29,C.J. Allen,LB,Georgia
30,Makai Lemon,WR,USC
31,Dani Dennis-Sutton,EDGE,Penn State
32,L.T. Overton,EDGE,Alabama
33,David Bailey,EDGE,Texas Tech
34,Nick Singleton,RB,Penn State
35,Cashius Howell,EDGE,Texas A&M
36,Denzel Boston,WR,Washington
37,A.J. Harris,CB,Penn State
38,Dillon Thieneman,S,Oregon
39,Antonio Williams,WR,Clemson
40,Connor Lew,IOL,Auburn
41,Trevor Goosby,OT,Texas
42,Kolt Dieterich,OT,Sam Houston State
43,Ja'Kobi Lane,WR,USC
44,Christen Miller,DL,Georgia
45,Suntarine Perkins,LB,Mississippi
46,Quincy Rhodes Jr.,EDGE,Arkansas
47,Keith Abney II,CB,Arizona State
48,DJ McKinney,CB,Colorado
49,Drew Shelton,OT,Penn State
50,Zachariah Branch,WR,Georgia
51,Arvell Reese,LB,Ohio State
52,Nyck Harbor,WR,South Carolina
53,Harold Perkins,LB,LSU
54,Colton Hood,CB,Tennessee
55,Gennings Dunker,OT,Iowa
56,Xavier Chaplin,OT,Auburn
57,Domani Jackson,CB,Alabama
58,Kamari Ramsey,S,USC
59,Jalon Kilgore,S,South Carolina
60,Domonique Orange,DL,Iowa State
61,Kevin Concepcion,WR,Texas A&M
62,R Mason Thomas,EDGE,Oklahoma
63,Malik Muhammad,CB,Texas
64,Anthony Lucas,EDGE,USC
65,Fa'alili Fa'amoe,OT,Wake Forest
66,Will Lee III,CB,Texas A&M
67,Darrell Jackson Jr.,DL,Florida State
68,Genesis Smith,S,Arizona
69,Kayden McDonald,DL,Ohio State
70,Austin Barber,OT,Florida
71,Joshua Josephs,EDGE,Tennessee
72,Aidan Chiles,QB,Michigan State
73,Parker Brailsford,IOL,Alabama
74,Zxavian Harris,DL,Mississippi
75,Chris Bell,WR,Louisville
76,Eric Singleton Jr.,WR,Auburn
77,Carson Beck,QB,Miami (FL)
78,Jake Slaughter,IOL,Florida
79,Mateen Ibirogba,DL,Wake Forest
80,Daylen Everette,CB,Georgia
81,Max Klare,TE,Ohio State
82,Gabe Jacas,EDGE,Illinois
83,Xavier Scott,S,Illinois
84,Tyreak Sapp,EDGE,Florida
85,Jack Endries,TE,Texas
86,Olaivavega Ioane,IOL,Penn State
87,Anto Saka,EDGE,Northwestern
88,Keon Sabb,S,Alabama
89,Whit Weeks,LB,LSU
90,Cayden Green,OT,Missouri
91,Justice Haynes,RB,Michigan
92,Duce Robinson,WR,Florida State
93,Jonah Coleman,RB,Washington
94,Chandler Rivers,CB,Duke
95,Emmanuel Pregnon,IOL,Oregon
96,Zane Durant,DL,Penn State
97,Deontae Lawson,LB,Alabama
98,Chase Bisontis,IOL,Texas A&M
99,Aaron Anderson,WR,LSU
100,Amare Ferrell,S,Indiana
101,Vincent Anthony Jr.,EDGE,Duke
102,Daniel Harris,CB,Georgia
103,Iapani Laloulu,IOL,Oregon
104,Oscar Delp,TE,Georgia
105,Dontay Corleone,DL,Cincinnati
106,Antonio Kite,CB,Mississippi
107,Jaishawn Barham,LB,Michigan
108,Deion Burks,WR,Oklahoma
109,Davison Igbinosun,CB,Ohio State
110,Elijah Pritchett,OT,Nebraska
111,Germie Bernard,WR,Alabama
112,Zion Young,EDGE,Missouri
113,Chris Brazzell,WR,Tennessee
114,Eli Stowers,TE,Vanderbilt
115,Jermaine Mathews Jr.,CB,Ohio State
116,Malachi Fields,WR,Notre Dame
117,DeMonte Capehart,DL,Clemson
118,Lance Heard,OT,Tennessee
119,Josh Hoover,QB,TCU
120,Kade Pieper,IOL,Iowa
121,Elijah Sarratt,WR,Indiana
122,Nic Anderson,WR,LSU
123,Kaytron Allen,RB,Penn State
124,Caleb Tiernan,OT,Northwestern
125,Tacario Davis,CB,Washington
126,Keylan Rutledge,IOL,Georgia Tech
127,Michael Taaffe,S,Texas
128,Sam Leavitt,QB,Arizona State
129,Tristan Leigh,OT,Clemson
130,Aaron Graves,DL,Iowa
131,Lander Barton,LB,Utah
132,Quintrevion Wisner,RB,Texas
133,Jaeden Roberts,IOL,Alabama
134,C.J. Baxter,RB,Texas
135,Earl Little Jr.,S,Florida State
136,Tim Keenan III,DL,Alabama
137,Ar'maj Reed-Adams,IOL,Texas A&M
138,Marlin Klein,TE,Michigan
139,Lawson Luckie,TE,Georgia
140,Le'Veon Moss,RB,Texas A&M
141,Josh Cameron,WR,Baylor
142,Jude Bowry,OT,Boston College
143,Akheem Mesidor,EDGE,Miami (FL)
144,Febechi Nwaiwu,IOL,Oklahoma
145,Hezekiah Masses,CB,California
146,A.J. Haulcy,S,LSU
147,LJ Martin,RB,BYU
148,Drew Azzopardi,OT,Washington
149,Blake Miller,OT,Clemson
150,D'angelo Ponds,CB,Indiana
151,Anthony Smith,DL,Minnesota
152,Robert Henry Jr.,RB,UTSA
153,Christian Gray,CB,Notre Dame
154,Darian Mensah,QB,Duke
155,Max Iheanachor,OT,Arizona State
156,Trey Zuhn III,OT,Texas A&M
157,Nico Iamaleava,QB,UCLA
158,Zakee Wheatley,S,Penn State
159,Patrick Payton,EDGE,LSU
160,Noah Thomas,WR,Georgia
161,Jamarion Miller,RB,Alabama
162,Derrick Moore,EDGE,Michigan
163,Aamil Wagner,OT,Notre Dame
164,Mikail Kamara,EDGE,Indiana
165,Tao Johnson,S,Utah
166,Makhi Hughes,RB,Oregon
167,Dalton Brooks,S,Texas A&M
168,Gracen Halton,DL,Oklahoma
169,Jaydn Ott,RB,Oklahoma
170,Judge Collier,CB,South Carolina
171,Dariel Djabome,LB,Rutgers
172,Logan Jones,IOL,Iowa
173,Bryce Foster,IOL,Kansas
174,Bryce Lance,WR,North Dakota State
175,Taurean York,LB,Texas A&M
176,Rayshaun Benny,DL,Michigan
177,Sawyer Robertson,QB,Baylor
178,Boubacar Traore,DL,Notre Dame
179,Joe Royer,TE,Cincinnati
180,Darius Taylor,RB,Minnesota
181,Kadin Lynch,IOL,William & Mary
182,Emmanuel McNeil-Warren,S,Toledo
183,Jack Velling,TE,Michigan State
184,Raylen Wilson,LB,Georgia
185,Xavier Nwankpa,S,Iowa
186,Charles Jagusah,IOL,Notre Dame
187,Trey Moore,EDGE,Texas
188,Drayk Bowen,LB,Notre Dame
189,Chase Roberts,WR,BYU
190,Jyaire Hill,CB,Michigan
191,Kage Casey,OT,Boise State
192,Riley Mahlman,OT,Wisconsin
193,Jaheim Oatis,DL,Colorado
194,Kobe Baynes,IOL,Kansas
195,Matthew Bailey,S,Illinois
196,Kenyatta Jackson,EDGE,Ohio State
197,John Michael Gyllenborg,TE,Wyoming
198,D.J. Campbell,IOL,Texas
199,Austin Romaine,LB,Kansas State
200,Earnest Greene,OT,Georgia
201,Kyle Louis,LB,Pittsburgh
202,Brett Norfleet,TE,Missouri
203,Amare Campbell,LB,Penn State
204,Theo Melin Ohrstrom,TE,Texas A&M
205,Rod Moore,S,Michigan
206,C.J. Daniels,WR,Miami (FL)
207,Max Llewellyn,EDGE,Iowa
208,Miller Moss,QB,Louisville
209,Trebor Pena,WR,Penn State
210,Davaughn Patterson,S,Wake Forest
211,Tanner Arkin,TE,Illinois
212,Ryan Baer,IOL,Pittsburgh
213,Roman Hemby,RB,Indiana
214,Bud Clark,S,TCU
215,Aiden Fisher,LB,Indiana
216,Roy Williams,EDGE,Northern Illinois
217,Keanu Tanuvasa,DL,BYU
218,Tanner Koziol,TE,Houston
219,Benji Gosnell,TE,Virginia Tech
220,J.Michael Sturdivant,WR,Florida
221,Jadarian Price,RB,Notre Dame
222,Bryson Washington,RB,Baylor
223,Kanye Udoh,RB,Arizona State
224,Jalen Walthall,WR,Incarnate Word
225,Caden Barnett,OT,Wyoming
226,Datrell Jones,RB,Boston College
227,Michael Harris,LB,Maryland
228,James Smith,DL,Alabama
229,Eli Holstein,QB,Pittsburgh
230,Demond Claiborne,RB,Wake Forest
231,Tomas Rimac,IOL,Virginia Tech
232,Cameron Calhoun,CB,Alabama
233,Jake Golday,LB,Cincinnati
234,Chris McClellan,DL,Missouri
235,Zeke Berry,S,Michigan
236,Omar Aigbedion,IOL,Baylor
237,Marvin Jones Jr.,EDGE,Oklahoma
238,Adonijah Green,DL,Louisville
239,Michael Trigg,TE,Baylor
240,KP Price,S,Boston College
241,Brett Thorson,P,Georgia
242,Jeremiah Wright,IOL,Auburn
243,Shamar Easter,TE,North Carolina
244,Keenan Nelson Jr.,S,Ohio State
245,Roderick Kearney,OT,Florida
246,Avery Johnson,QB,Kansas State
247,Kelby Collins,DL,Alabama
248,Eric Rivers,WR,Georgia Tech
249,Izavion Miller,OT,Auburn
250,Bray Hubbard,S,Alabama
251,Fernando Carmona,IOL,Arkansas
252,Tyreek Chappell,CB,Texas A&M
253,Ashton Stamps,CB,LSU
254,Barika Kpeenu,RB,North Dakota State
255,Noah Josey,IOL,Virginia
256,Nicolas Radicic,K,Indiana
257,Declan Duley,P,Central Michigan
258,Eugene Wilson III,WR,Florida
259,Fisher Camac,EDGE,Virginia
260,Eric McAlister,WR,TCU
261,Barion Brown,WR,LSU
262,Lee Hunter,DL,Texas Tech
263,Evan Stewart,WR,Oregon
264,Caleb Douglas,WR,Texas Tech
265,Max Tomzcak,WR,Youngstown State
266,Martel Hight,CB,Vanderbilt
267,Damon Wilson Jr.,EDGE,Missouri
268,Laurence Seymore,IOL,Western Kentucky
269,Elijah Prather,IOL,Troy
270,Nate Johnson,EDGE,Missouri
271,C.J. Fite,DL,Arizona State
272,Brandon Henderson,IOL,Illinois
273,Knijeah Harris,IOL,Florida
274,Cole Wisniewski,S,Texas Tech
275,Dametrious Crownover,OT,Texas A&M
276,Teague Andersen,IOL,NC State
277,Josh Thompson,IOL,LSU
278,Quinten Christensen,IOL,South Dakota State
279,Carlos Hernandez,WR,Wake Forest
280,Dean Miller,EDGE,Kansas
281,Dasan McCullough,EDGE,Nebraska
282,Dane Key,WR,Nebraska
283,Trevyon Green,OT,North Carolina
284,Skyler Bell,WR,UConn
285,Ryan Mosesso,OT,UMass
286,Matthew Hibner,TE,SMU
287,Jacarrius Peak,OT,NC State
288,Jayden Virgin-Morgan,EDGE,Boise State
289,Isaiah Nwokobia,S,SMU
290,P.J. Williams,OT,SMU
291,McKale Boley,IOL,Virginia
292,Clev Lubin,EDGE,Louisville
293,Jimarion McCrimon,OT,East Carolina
294,Braelin Moore,IOL,LSU
295,Jaden Keller,LB,Virginia Tech
296,Jontez Williams,CB,Iowa State
297,Greg Johnson,IOL,Minnesota
298,Bear Alexander,DL,Oregon
299,Justin Jefferson,LB,Alabama
300,Calvin Clements,OT,Kansas
301,Ben Murawski,IOL,UConn
302,Desmeal Leigh,OT,Youngstown State
303,Thomas Castellanos,QB,Florida State
304,Emmanuel Poku,IOL,East Carolina
305,Stanquan Clark,LB,Louisville
306,R.J. Maryland,TE,SMU
307,Jackie Marshall,DL,Baylor
308,Jaden Greathouse,WR,Notre Dame
309,J.C. Davis,OT,Illinois
310,Cole Rhett,OT,Toledo
311,Jalen Catalon,S,Missouri
312,Aidan Gousby,S,Minnesota
313,Diego Pounds,OT,Mississippi
314,Wes King,IOL,Wyoming
