Rank,Player Name,Position,College
1,LaNorris Sellers,QB,South Carolina
2,Rueben Bain,EDGE,Miami (FL)
3,Fernando Mendoza,QB,Indiana
4,Garrett Nussmeier,QB,LSU
5,Caleb Downs,S,Ohio State
6,Peter Woods,DL,Clemson
7,Francis Mauigoa,OT,Miami (FL)
8,Spencer Fano,OT,Utah
9,Jordyn Tyson,WR,Arizona State
10,Keldric Faulk,EDGE,Auburn
11,T.J. Parker,EDGE,Clemson
12,Dante Moore,QB,Oregon
13,Kadyn Proctor,OT,Alabama
14,Jermod McCoy,CB,Tennessee
15,Jeremiyah Love,RB,Notre Dame
16,Mansoor Delane,CB,LSU
17,Kenyon Sadiq,TE,Oregon
18,Caleb Lomu,OT,Utah
19,John Mateer,QB,Oklahoma
20,Avieon Terrell,CB,Clemson
21,Anthony Hill Jr.,LB,Texas
22,Matayo Uiagalelei,EDGE,Oregon
23,Carnell Tate,WR,Ohio State
24,Drew Allar,QB,Penn State
25,Makai Lemon,WR,USC
26,Cade Klubnik,QB,Clemson
27,Isaiah World,OT,Oregon
28,Caleb Banks,DL,Florida
29,Sonny Styles,LB,Ohio State
30,Denzel Boston,WR,Washington
31,C.J. Allen,LB,Georgia
32,L.T. Overton,EDGE,Alabama
33,Dani Dennis-Sutton,EDGE,Penn State
34,A.J. Harris,CB,Penn State
35,David Bailey,EDGE,Texas Tech
36,Connor Lew,IOL,Auburn
37,Arvell Reese,LB,Ohio State
38,Christen Miller,DL,Georgia
39,Trevor Goosby,OT,Texas
40,Keith Abney II,CB,Arizona State
41,Dillon Thieneman,S,Oregon
42,Antonio Williams,WR,Clemson
43,Kolt Dieterich,OT,Sam Houston State
44,Quincy Rhodes Jr.,EDGE,Arkansas
45,Gennings Dunker,OT,Iowa
46,Chris Brazzell,WR,Tennessee
47,Colton Hood,CB,Tennessee
48,Xavier Chaplin,OT,Auburn
49,Chris Bell,WR,Louisville
50,Domonique Orange,DL,Iowa State
51,Nyck Harbor,WR,South Carolina
52,Ja'Kobi Lane,WR,USC
