Rank,Player Name,Position,College
1,Rueben Bain,EDGE,Miami (FL)
2,Arvell Reese,LB,Ohio State
3,Fernando Mendoza,QB,Indiana
4,Ty Simpson,QB,Alabama
5,Jordyn Tyson,WR,Arizona State
6,Caleb Downs,S,Ohio State
7,Dante Moore,QB,Oregon
8,Peter Woods,DL,Clemson
9,Spencer Fano,OT,Utah
10,Keldric Faulk,EDGE,Auburn
11,Carnell Tate,WR,Ohio State
12,Francis Mauigoa,OT,Miami (FL)
13,Jeremiyah Love,RB,Notre Dame
14,Mansoor Delane,CB,LSU
15,Kadyn Proctor,OT,Alabama
16,David Bailey,EDGE,Texas Tech
17,Jermod McCoy,CB,Tennessee
18,T.J. Parker,EDGE,Clemson
19,Makai Lemon,WR,USC
20,Kenyon Sadiq,TE,Oregon
21,Caleb Lomu,OT,Utah
22,LaNorris Sellers,QB,South Carolina
23,Sonny Styles,LB,Ohio State
24,Avieon Terrell,CB,Clemson
25,Denzel Boston,WR,Washington
26,Cashius Howell,EDGE,Texas A&M
27,Olaivavega Ioane,IOL,Penn State
28,C.J. Allen,LB,Georgia
29,Colton Hood,CB,Tennessee
30,Chris Bell,WR,Louisville
31,Matayo Uiagalelei,EDGE,Oregon
32,Garrett Nussmeier,QB,LSU
33,Kayden McDonald,DL,Ohio State
34,Kevin Concepcion,WR,Texas A&M
35,L.T. Overton,EDGE,Alabama
36,Caleb Banks,DL,Florida
37,Anthony Hill Jr.,LB,Texas
38,Gennings Dunker,OT,Iowa
39,Chris Brazzell,WR,Tennessee
40,Brandon Cisse,CB,South Carolina
41,A'Mauri Washington,DL,Oregon
42,Germie Bernard,WR,Alabama
43,R Mason Thomas,EDGE,Oklahoma
44,A.J. Harris,CB,Penn State
45,Zion Young,EDGE,Missouri
46,Elijah Prather,IOL,Troy
47,Christen Miller,DL,Georgia
48,Isaiah World,OT,Oregon
49,Emmanuel Pregnon,IOL,Oregon
50,Keith Abney II,CB,Arizona State
51,Joshua Josephs,EDGE,Tennessee
52,Quincy Rhodes Jr.,EDGE,Arkansas
53,Dillon Thieneman,S,Oregon
54,Connor Lew,IOL,Auburn
55,Romello Height,EDGE,Texas Tech
56,Jayden Maiava,QB,USC
57,Caleb Tiernan,OT,Northwestern
58,Kamari Ramsey,S,USC
59,Domonique Orange,DL,Iowa State
60,Trevor Goosby,OT,Texas
61,Max Klare,TE,Ohio State
62,Chris Johnson,CB,San Diego State
63,Blake Miller,OT,Clemson
64,Ja'Kobi Lane,WR,USC
65,Malik Muhammad,CB,Texas
66,Jake Golday,LB,Cincinnati
67,Davison Igbinosun,CB,Ohio State
68,Justice Haynes,RB,Michigan
69,Emmanuel McNeil-Warren,S,Toledo
70,Jonah Coleman,RB,Washington
71,Elijah Sarratt,WR,Indiana
72,Cade Klubnik,QB,Clemson
73,Malachi Fields,WR,Notre Dame
74,John Mateer,QB,Oklahoma
75,Dani Dennis-Sutton,EDGE,Penn State
76,Domani Jackson,CB,Alabama
77,Damon Wilson Jr.,EDGE,Missouri
78,Michael Trigg,TE,Baylor
79,Chase Bisontis,IOL,Texas A&M
80,Darian Mensah,QB,Duke
81,Brian Parker II,OT,Duke
82,Nyck Harbor,WR,South Carolina
83,Will Lee III,CB,Texas A&M
84,Jake Slaughter,IOL,Florida
85,Jadarian Price,RB,Notre Dame
86,Antonio Williams,WR,Clemson
87,Dontay Corleone,DL,Cincinnati
88,Gabe Jacas,EDGE,Illinois
89,Parker Brailsford,IOL,Alabama
90,A.J. Haulcy,S,LSU
91,Jalon Kilgore,S,South Carolina
92,Deontae Lawson,LB,Alabama
93,Jaishawn Barham,LB,Michigan
94,Taurean York,LB,Texas A&M
95,Zakee Wheatley,S,Penn State
96,Harold Perkins,LB,LSU
97,Darrell Jackson Jr.,DL,Florida State
98,Eric Singleton Jr.,WR,Auburn
99,D'angelo Ponds,CB,Indiana
100,Austin Barber,OT,Florida
101,Iapani Laloulu,IOL,Oregon
102,Cayden Green,OT,Missouri
103,Mateen Ibirogba,DL,Wake Forest
104,Jack Endries,TE,Texas
105,Whit Weeks,LB,LSU
106,Tyreak Sapp,EDGE,Florida
107,Chandler Rivers,CB,Duke
108,DJ McKinney,CB,Colorado
109,Austin Siereveld,OT,Ohio State
110,Xavier Scott,S,Illinois
111,Kobe Baynes,IOL,Kansas
112,Drew Allar,QB,Penn State
113,Zachariah Branch,WR,Georgia
114,Genesis Smith,S,Arizona
115,Julian Neal,CB,Arkansas
116,Tacario Davis,CB,Washington
117,Derrick Moore,EDGE,Michigan
118,Brendan Sorsby,QB,Cincinnati
119,Deion Burks,WR,Oklahoma
120,Jermaine Mathews Jr.,CB,Ohio State
121,Lee Hunter,DL,Texas Tech
122,Logan Jones,IOL,Iowa
123,Carson Beck,QB,Miami (FL)
124,Drew Shelton,OT,Penn State
125,Amare Ferrell,S,Indiana
126,Oscar Delp,TE,Georgia
127,Nick Singleton,RB,Penn State
128,Eli Stowers,TE,Vanderbilt
129,Xavier Chaplin,OT,Auburn
130,Ian Strong,WR,Rutgers
131,Anthony Smith,DL,Minnesota
132,Omar Cooper Jr.,WR,Indiana
133,Zxavian Harris,DL,Mississippi
134,Kaytron Allen,RB,Penn State
135,Terrance Carter,TE,Texas Tech
136,Akheem Mesidor,EDGE,Miami (FL)
137,Bishop Fitzgerald,S,USC
138,Max Iheanachor,OT,Arizona State
139,Skyler Bell,WR,UConn
140,Jacob Rodriguez,LB,Texas Tech
141,Demond Claiborne,RB,Wake Forest
142,Suntarine Perkins,LB,Mississippi
143,Keon Sabb,S,Alabama
144,Kade Pieper,IOL,Iowa
145,Daylen Everette,CB,Georgia
146,Dametrious Crownover,OT,Texas A&M
147,Anto Saka,EDGE,Northwestern
148,Michael Taaffe,S,Texas
149,Mikail Kamara,EDGE,Indiana
150,Lander Barton,LB,Utah
151,Anthony Lucas,EDGE,USC
152,Tim Keenan III,DL,Alabama
153,Joe Royer,TE,Cincinnati
154,Jude Bowry,OT,Boston College
155,Aaron Anderson,WR,LSU
156,Carter Smith,OT,Indiana
157,Keionte Scott,CB,Miami (FL)
158,Zane Durant,DL,Penn State
159,Eric Rivers,WR,Georgia Tech
160,Liam Becher,IOL,North Dakota
161,Hollywood Smothers,RB,NC State
162,Cooper Barkate,WR,Duke
163,Fa'alili Fa'amoe,OT,Wake Forest
164,Sawyer Robertson,QB,Baylor
165,Bray Hubbard,S,Alabama
166,Rylan Kennedy,EDGE,Texas A&M
167,Brenen Thompson,WR,Mississippi State
168,Brett Norfleet,TE,Missouri
169,Kage Casey,OT,Boise State
170,Eli Raridon,TE,Notre Dame
171,Bryce Lance,WR,North Dakota State
172,Logan Taylor,IOL,Boston College
173,C.J. Fite,DL,Arizona State
174,Lance Heard,OT,Tennessee
175,Marcel Reed,QB,Texas A&M
176,Emmett Johnson,RB,Nebraska
177,Cole Rhett,OT,Toledo
178,Caden Barnett,OT,Wyoming
179,Matt Gulbin,IOL,Michigan State
180,Tao Johnson,S,Utah
181,Keylan Rutledge,IOL,Georgia Tech
182,J.C. Davis,OT,Illinois
183,Drayk Bowen,LB,Notre Dame
184,Darius Taylor,RB,Minnesota
185,Red Murdock,LB,Buffalo
186,P.J. Williams,OT,SMU
187,Boubacar Traore,EDGE,Notre Dame
188,Kevin Coleman Jr.,WR,Missouri
189,Jyaire Hill,CB,Michigan
190,Jaeden Roberts,IOL,Alabama
191,Quintrevion Wisner,RB,Texas
192,Christian Gray,CB,Notre Dame
193,Austin Romaine,LB,Kansas State
194,DeMonte Capehart,DL,Clemson
195,Bear Alexander,DL,Oregon
196,Yhonzae Pierre,EDGE,Alabama
197,Josh Hoover,QB,TCU
198,Tanner Arkin,TE,Illinois
199,Patrick Payton,EDGE,LSU
200,Eugene Wilson III,WR,Florida
201,Earnest Greene,OT,Georgia
202,Josh Cameron,WR,Baylor
203,Gabe Burkle,TE,Iowa State
204,C.J. Baxter,RB,Texas
205,J'Mari Taylor,RB,Virginia
206,Kevin Jennings,QB,SMU
207,Tristan Leigh,OT,Clemson
208,Le'Veon Moss,RB,Texas A&M
209,D.J. Campbell,IOL,Texas
210,Justin Jefferson,LB,Alabama
211,Gracen Halton,DL,Oklahoma
212,Clev Lubin,EDGE,Louisville
213,Fisher Camac,EDGE,Virginia
214,Ryan Baer,IOL,Pittsburgh
215,Max Llewellyn,EDGE,Iowa
216,R.J. Maryland,TE,SMU
217,Lawson Luckie,TE,Georgia
218,Rod Moore,S,Michigan
219,Taylen Green,QB,Arkansas
220,Zeke Berry,S,Michigan
221,Tanner Koziol,TE,Houston
222,Wydett Williams Jr.,S,Mississippi
223,Jelani McDonald,S,Texas
224,KP Price,S,Boston College
225,Aidan Chiles,QB,Michigan State
226,Jamarion Miller,RB,Alabama
227,Treydan Stukes,CB,Arizona
228,Amare Campbell,LB,Penn State
229,Sam Leavitt,QB,Arizona State
230,Hezekiah Masses,CB,California
231,LJ Martin,RB,BYU
232,Beau Atkinson,EDGE,Ohio State
233,Aaron Graves,DL,Iowa
234,Josiah Trotter,LB,Missouri
235,Nic Anderson,WR,LSU
236,Braelin Moore,IOL,LSU
237,Dae'Quan Wright,TE,Mississippi
238,Miller Moss,QB,Louisville
239,Jaren Kanak,TE,Oklahoma
240,Charles Jagusah,IOL,Notre Dame
241,Logan Parr,IOL,SMU
242,Bud Clark,S,TCU
243,Raylen Wilson,LB,Georgia
244,Caleb Woodson,LB,Virginia Tech
245,Jaydn Ott,RB,Oklahoma
246,Hero Kanu,DL,Texas
247,Caden Curry,EDGE,Ohio State
248,Jaden Keller,LB,Virginia Tech
249,Trey Moore,EDGE,Texas
250,Terion Stewart,RB,Virginia Tech
251,Desmeal Leigh,OT,Youngstown State
252,Chris McClellan,DL,Missouri
253,Samuel Singleton Jr.,RB,Florida State
254,John Henry Daley,EDGE,Utah
255,Robert Henry Jr.,RB,UTSA
256,Tyreek Chappell,CB,Texas A&M
257,Fernando Carmona,IOL,Arkansas
258,Vincent Anthony Jr.,EDGE,Duke
259,Duce Robinson,WR,Florida State
260,Aamil Wagner,OT,Notre Dame
261,Jeremiah Wright,IOL,Auburn
262,Nicolas Radicic,K,Indiana
263,Pat Coogan,IOL,Indiana
264,Trinidad Chambliss,QB,Mississippi
265,Cade McConnell,IOL,Vanderbilt
266,Ernest Hausmann,LB,Michigan
267,David Olano,K,Illinois
268,Kam Shanks,WR,Arkansas
269,Robert Spears-Jennings,S,Oklahoma
270,Brett Thorson,P,Georgia
271,Niki Prongos,OT,Stanford
272,Xavier Nwankpa,S,Iowa
273,Marlin Klein,TE,Michigan
274,Trey Zuhn III,OT,Texas A&M
275,Bryce Boettcher,LB,Oregon
276,Carlos Hernandez,WR,Wake Forest
277,Kemari Copeland,DL,Virginia Tech
