ScrapeDate,BigBoardsUsed,MockDraftsUsed,TeamBasedMockDraftsUsed,ProspectCount,LastUpdated
2021-09-03,0,1,0,32,11 days ago
2021-10-03,0,1,0,32,1 month ago
