State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Ohio,266,9,28
Texas,259,11,47
Georgia,257,4,24
Alabama,220,6,23
Michigan,195,5,26
Pennsylvania,143,3,16
California,142,7,38
Florida,122,7,28
Iowa,122,3,18
Indiana,120,4,19
North Carolina,116,9,32
Oklahoma,112,3,23
Louisiana,105,6,20
Mississippi,104,4,18
South Carolina,95,4,19
Washington,85,3,10
Virginia,72,5,19
Kentucky,71,3,14
Tennessee,60,5,13
Utah,58,4,12
Oregon,57,2,10
Minnesota,51,1,9
Arkansas,50,2,8
Massachusetts,44,2,9
Wisconsin,37,1,8
Arizona,32,2,10
North Dakota,29,2,4
Nebraska,27,1,7
Colorado,25,3,6
Nevada,25,2,5
Illinois,22,2,13
Missouri,22,4,10
Connecticut,22,2,3
Idaho,15,3,4
Maryland,15,2,4
Wyoming,15,1,1
South Dakota,14,1,4
Kansas,12,3,4
New Jersey,10,1,5
Montana,10,1,1
New York,9,3,5
Rhode Island,5,1,1
West Virginia,4,2,3
Hawaii,1,1,1
Ontario,1,1,1
