State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,297,6,39
Ohio,268,3,24
Texas,266,10,42
Georgia,191,3,19
South Carolina,190,4,32
Indiana,167,4,22
California,162,7,33
Oklahoma,142,3,25
Florida,130,6,30
Iowa,128,3,15
Washington,108,2,10
Mississippi,107,4,16
North Carolina,104,6,16
Michigan,93,4,16
Pennsylvania,88,2,15
Oregon,81,2,11
Louisiana,76,5,14
Arkansas,72,1,8
Virginia,69,3,14
Kentucky,58,3,13
Nevada,52,1,5
Utah,38,3,8
Arizona,38,1,8
Illinois,37,2,4
Minnesota,36,1,6
Tennessee,35,4,11
Massachusetts,35,1,6
Wisconsin,26,1,6
West Virginia,18,2,4
Missouri,16,2,7
New York,12,2,5
Colorado,12,2,3
New Jersey,11,1,4
Idaho,10,1,1
Maryland,8,2,4
Connecticut,8,1,1
Nebraska,4,1,2
North Dakota,2,1,1
Wyoming,1,1,1
Hawaii,1,1,1
