State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,258,10,42
Georgia,249,3,19
Ohio,247,6,28
Alabama,212,4,21
Michigan,190,4,25
Pennsylvania,153,3,15
California,152,7,34
Indiana,127,4,17
Iowa,120,3,16
North Carolina,115,7,23
Mississippi,115,4,18
Louisiana,112,6,20
South Carolina,108,4,18
Florida,104,7,22
Oklahoma,98,3,19
Kentucky,97,3,14
Virginia,82,3,17
Washington,73,2,8
Utah,62,4,11
Oregon,57,2,9
Tennessee,53,4,11
Arkansas,52,2,7
Nevada,40,1,5
Arizona,37,1,9
Minnesota,35,1,5
Colorado,32,3,7
Massachusetts,31,1,5
Wisconsin,26,1,5
Missouri,22,2,7
Nebraska,22,1,6
North Dakota,15,2,4
Wyoming,15,1,1
Illinois,14,3,7
Idaho,14,3,4
Connecticut,13,2,3
New York,9,3,5
New Jersey,9,1,4
South Dakota,8,1,2
Maryland,7,2,3
Rhode Island,5,1,1
West Virginia,4,2,3
Kansas,2,2,2
Montana,2,1,1
