State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,265,11,50
Georgia,258,5,25
Ohio,251,9,31
Alabama,208,6,24
Michigan,201,5,28
California,151,7,39
Pennsylvania,144,4,17
Iowa,123,3,18
North Carolina,119,10,36
Oklahoma,116,3,25
Florida,115,7,28
Indiana,113,5,21
Mississippi,108,4,20
South Carolina,107,4,19
Louisiana,102,7,21
Washington,86,3,11
Kentucky,79,3,14
Virginia,77,5,20
Tennessee,67,5,13
Oregon,56,2,10
Minnesota,56,1,9
Utah,54,4,12
Arkansas,46,2,8
Massachusetts,40,3,10
Wisconsin,37,1,8
Arizona,36,2,10
Nebraska,33,1,7
North Dakota,33,2,5
Missouri,27,5,11
Colorado,26,4,7
Nevada,25,2,5
Illinois,23,3,14
Connecticut,23,3,4
Idaho,15,3,5
New Jersey,15,1,5
Maryland,15,2,4
Wyoming,15,1,1
South Dakota,11,1,5
Montana,11,2,2
New York,9,3,5
Kansas,7,3,5
Rhode Island,5,1,1
West Virginia,3,2,3
Hawaii,1,1,1
Ontario,1,1,1
