State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Ohio,280,5,34
Alabama,247,4,31
Georgia,240,3,24
Texas,239,10,43
Michigan,185,4,26
California,167,7,36
Pennsylvania,149,3,17
Mississippi,131,4,19
Indiana,129,4,19
South Carolina,126,4,24
Iowa,122,3,16
Florida,110,8,23
Oklahoma,109,3,25
Louisiana,102,6,21
North Carolina,102,7,20
Washington,91,2,12
Kentucky,84,3,13
Virginia,75,3,20
Oregon,65,2,11
Utah,61,4,10
Tennessee,48,4,13
Arkansas,45,2,5
Nevada,36,1,5
Arizona,34,1,8
Massachusetts,30,1,5
Minnesota,29,1,5
Wisconsin,28,1,6
Colorado,23,2,4
Missouri,21,2,7
Nebraska,20,1,4
Illinois,15,3,7
North Dakota,14,2,4
West Virginia,11,2,3
Connecticut,11,1,2
Idaho,11,2,2
Wyoming,10,1,1
New York,9,3,5
New Jersey,8,1,4
South Dakota,8,1,2
Maryland,5,2,4
Montana,5,1,1
Rhode Island,2,1,1
Kansas,1,1,1
