State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,299,6,37
Ohio,277,3,24
Texas,251,10,42
South Carolina,185,3,31
Georgia,184,3,19
California,179,7,32
Indiana,159,4,22
Oklahoma,154,3,25
Florida,138,6,30
Iowa,130,3,15
Washington,118,2,10
Mississippi,103,4,15
North Carolina,99,6,16
Pennsylvania,80,2,15
Michigan,79,4,15
Oregon,79,2,11
Louisiana,75,5,14
Virginia,71,3,13
Arkansas,71,1,8
Kentucky,61,3,13
Nevada,53,1,5
Utah,38,3,8
Minnesota,38,1,6
Illinois,38,2,4
Massachusetts,37,1,6
Arizona,35,1,8
Tennessee,30,4,10
Wisconsin,28,1,6
Missouri,19,2,7
West Virginia,16,2,4
Colorado,12,2,3
New York,9,2,5
New Jersey,9,1,4
Maryland,8,2,4
Connecticut,8,1,1
Idaho,8,1,1
Nebraska,7,1,2
North Dakota,2,1,1
Wyoming,1,1,1
Hawaii,1,1,1
