State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Ohio,291,5,34
Texas,256,10,47
Alabama,254,4,32
Georgia,233,2,23
Michigan,177,4,26
California,171,7,38
Pennsylvania,151,3,20
Indiana,137,4,20
Mississippi,133,4,19
Florida,124,8,25
South Carolina,121,4,25
North Carolina,118,7,22
Iowa,116,3,19
Oklahoma,109,3,27
Washington,97,2,12
Louisiana,92,6,21
Kentucky,90,3,15
Virginia,74,3,20
Oregon,60,2,11
Utah,51,4,10
Arkansas,46,2,6
Tennessee,38,4,13
Nevada,36,1,4
Arizona,33,1,8
Massachusetts,31,1,6
Minnesota,25,1,5
Wisconsin,23,1,6
Colorado,23,2,4
Nebraska,23,1,4
Missouri,21,2,7
Illinois,19,3,7
North Dakota,12,2,4
Connecticut,11,1,2
Idaho,11,2,2
Wyoming,10,1,1
New York,9,3,5
New Jersey,8,1,4
West Virginia,8,2,3
South Dakota,7,1,2
Montana,5,1,1
Maryland,4,2,4
Rhode Island,2,1,1
Kansas,1,1,1
