State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,288,6,40
Ohio,266,4,31
Texas,222,11,44
Georgia,213,2,23
South Carolina,172,4,32
California,168,7,39
Indiana,159,4,24
Iowa,140,3,19
Pennsylvania,128,2,20
Florida,125,6,34
Michigan,120,4,20
Mississippi,118,4,18
Oklahoma,112,3,27
Washington,105,2,11
North Carolina,99,7,20
Virginia,87,3,18
Louisiana,85,5,19
Kentucky,74,3,16
Oregon,68,2,13
Arkansas,63,1,8
Utah,53,3,8
Arizona,48,1,10
Massachusetts,48,1,6
Nevada,45,1,5
Minnesota,37,1,8
Wisconsin,32,1,6
Tennessee,31,4,13
Illinois,30,2,5
Colorado,23,2,3
Missouri,21,2,7
Idaho,20,1,1
Maryland,17,2,6
New York,11,2,5
New Jersey,11,1,4
Connecticut,10,1,2
West Virginia,9,2,4
Wyoming,6,1,1
Nebraska,2,1,2
North Dakota,2,1,2
South Dakota,2,1,1
Kansas,1,1,1
Hawaii,1,1,1
