State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,282,6,40
Ohio,270,4,32
Texas,236,11,45
Georgia,226,2,23
California,172,7,40
South Carolina,161,4,32
Indiana,161,4,24
Iowa,132,3,19
Pennsylvania,128,2,20
Michigan,125,4,20
Florida,118,7,35
Mississippi,114,4,18
Oklahoma,111,3,28
North Carolina,101,7,20
Washington,100,2,11
Virginia,96,3,19
Louisiana,84,5,19
Oregon,80,2,13
Kentucky,76,3,17
Arkansas,64,1,8
Utah,54,3,8
Arizona,48,1,10
Massachusetts,48,1,6
Nevada,45,1,5
Tennessee,33,4,13
Minnesota,32,1,8
Wisconsin,30,1,6
Illinois,30,2,5
Missouri,18,2,7
Maryland,17,2,6
Colorado,17,2,3
Idaho,15,1,1
New York,13,3,6
New Jersey,11,1,4
Connecticut,11,1,2
Wyoming,7,1,1
West Virginia,6,2,4
Nebraska,2,1,2
North Dakota,2,1,2
South Dakota,2,1,1
Kansas,1,1,1
Hawaii,1,1,1
