State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,279,10,46
Ohio,246,8,26
Georgia,237,4,22
Alabama,217,6,23
Michigan,199,5,26
California,162,7,37
Pennsylvania,136,2,15
Indiana,135,4,19
Florida,116,7,25
Iowa,115,3,17
South Carolina,110,4,18
North Carolina,108,7,28
Oklahoma,106,3,22
Mississippi,105,3,16
Louisiana,101,7,22
Kentucky,83,3,14
Washington,80,2,9
Virginia,76,4,16
Utah,63,4,12
Oregon,61,2,10
Tennessee,52,4,12
Arkansas,47,2,8
Minnesota,43,1,7
Massachusetts,38,1,8
Arizona,37,2,10
Colorado,31,3,7
Wisconsin,30,1,6
Nebraska,29,1,8
Nevada,27,1,4
North Dakota,26,2,4
Connecticut,23,2,3
Illinois,22,2,10
Missouri,22,4,9
Wyoming,15,1,1
Idaho,13,3,4
New Jersey,10,1,5
New York,9,3,5
Maryland,9,2,4
South Dakota,9,1,3
Montana,8,1,1
Kansas,3,3,3
West Virginia,3,2,2
Rhode Island,2,1,1
