State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,263,10,47
Ohio,259,9,27
Georgia,248,4,23
Alabama,217,6,23
Michigan,188,5,26
California,161,7,37
Pennsylvania,145,2,15
Iowa,121,3,17
Indiana,120,4,19
Florida,116,7,25
Mississippi,116,3,16
Louisiana,112,7,22
North Carolina,110,8,29
Oklahoma,109,3,22
South Carolina,89,4,18
Washington,86,2,9
Kentucky,81,3,14
Virginia,77,4,16
Oregon,63,2,10
Utah,54,4,12
Tennessee,51,4,12
Minnesota,50,1,7
Arkansas,47,2,8
Massachusetts,38,2,9
Arizona,34,2,10
Nevada,31,1,4
Colorado,27,3,7
Wisconsin,27,1,6
Nebraska,26,1,8
North Dakota,23,2,4
Connecticut,22,2,3
Missouri,21,4,9
Wyoming,20,1,1
Illinois,19,2,10
Idaho,14,3,4
Maryland,14,2,4
New Jersey,11,1,5
Montana,10,1,1
New York,9,3,5
South Dakota,9,1,3
Rhode Island,5,1,1
Kansas,4,3,4
West Virginia,2,2,2
