State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Ohio,258,5,27
Texas,243,10,42
Georgia,236,3,19
Michigan,198,4,25
Alabama,192,4,20
Pennsylvania,163,3,15
California,161,7,34
Indiana,127,4,17
Iowa,123,3,16
South Carolina,121,4,18
Mississippi,117,4,18
North Carolina,114,7,21
Florida,105,7,22
Kentucky,97,3,14
Louisiana,95,6,20
Oklahoma,94,3,19
Washington,76,2,8
Virginia,72,3,17
Utah,65,4,10
Oregon,63,2,9
Arkansas,57,2,7
Tennessee,48,4,11
Nevada,40,1,5
Arizona,37,1,9
Colorado,33,3,6
Massachusetts,32,1,5
Wisconsin,30,1,5
Minnesota,29,1,5
Nebraska,25,1,6
Missouri,21,2,7
Idaho,17,3,4
North Dakota,16,2,4
Illinois,15,3,7
Wyoming,15,1,1
Connecticut,12,2,3
Maryland,9,2,3
South Dakota,9,1,2
New Jersey,8,1,4
New York,6,3,5
Montana,5,1,1
West Virginia,3,2,2
Kansas,3,2,2
Rhode Island,1,1,1
