State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,290,6,40
Ohio,271,4,31
Texas,228,11,45
Georgia,214,2,23
California,171,7,40
Indiana,165,4,24
South Carolina,159,4,32
Pennsylvania,135,2,20
Iowa,132,3,19
Michigan,126,4,20
Florida,125,7,35
Mississippi,114,4,18
Oklahoma,113,3,27
Washington,99,2,11
North Carolina,97,7,20
Virginia,89,3,18
Louisiana,86,5,19
Oregon,81,2,13
Kentucky,78,3,17
Arkansas,63,1,8
Utah,52,3,8
Massachusetts,48,1,6
Arizona,47,1,10
Nevada,45,1,5
Tennessee,34,4,13
Minnesota,32,1,8
Wisconsin,30,1,6
Illinois,30,2,5
Missouri,21,2,7
Colorado,18,2,3
Maryland,17,2,6
Idaho,15,1,1
New York,12,2,5
New Jersey,10,1,4
Connecticut,9,1,2
West Virginia,6,2,4
Wyoming,6,1,1
Nebraska,2,1,2
North Dakota,2,1,2
South Dakota,2,1,1
Kansas,1,1,1
Hawaii,1,1,1
