State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,261,11,50
Georgia,258,6,26
Ohio,250,9,31
Michigan,202,5,28
Alabama,199,6,24
California,158,7,39
Pennsylvania,145,4,17
Iowa,128,3,18
North Carolina,123,10,36
Oklahoma,120,3,25
Florida,118,7,28
Indiana,113,5,21
Mississippi,112,4,20
Louisiana,104,7,21
South Carolina,103,4,19
Washington,83,3,11
Virginia,82,5,20
Kentucky,76,3,14
Tennessee,64,5,13
Utah,56,4,13
Oregon,56,2,10
Minnesota,51,1,9
Arkansas,46,2,8
Massachusetts,38,3,10
Wisconsin,36,1,8
Arizona,33,2,10
North Dakota,33,2,5
Nebraska,30,1,7
Missouri,27,5,11
Colorado,27,4,8
Nevada,25,2,5
Illinois,24,3,14
Connecticut,23,3,4
Maryland,18,2,4
Idaho,16,3,6
Montana,16,2,2
Wyoming,15,1,1
New Jersey,12,1,5
South Dakota,11,1,5
New York,9,3,5
Kansas,6,3,5
Rhode Island,5,1,1
West Virginia,3,2,3
Hawaii,1,1,1
Ontario,1,1,1
