State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,263,11,47
Ohio,260,9,28
Georgia,251,4,24
Alabama,215,6,23
Michigan,191,5,26
Pennsylvania,146,3,16
California,142,7,38
Florida,125,7,27
Iowa,122,3,18
Indiana,118,4,19
North Carolina,117,9,32
Oklahoma,109,3,23
Louisiana,105,6,20
Mississippi,104,4,18
South Carolina,96,4,19
Washington,83,3,10
Virginia,72,5,19
Kentucky,71,3,14
Tennessee,67,5,13
Utah,58,4,12
Oregon,58,2,10
Minnesota,56,1,9
Arkansas,53,2,8
Massachusetts,44,2,9
Wisconsin,37,1,8
Arizona,32,2,10
North Dakota,29,2,4
Nebraska,25,1,7
Colorado,25,3,6
Nevada,25,2,5
Missouri,22,4,10
Connecticut,22,2,3
Illinois,21,2,12
Idaho,17,3,4
Wyoming,15,1,1
Maryland,14,2,4
South Dakota,14,1,4
Kansas,12,3,4
New Jersey,10,1,5
Montana,10,1,1
New York,9,3,5
Rhode Island,5,1,1
West Virginia,4,2,3
Hawaii,1,1,1
Ontario,1,1,1
