State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,272,11,48
Georgia,249,5,25
Ohio,248,9,29
Alabama,212,6,24
Michigan,200,5,27
Pennsylvania,150,4,17
California,149,7,40
North Carolina,123,10,35
Iowa,119,3,18
Florida,117,7,28
Indiana,117,5,20
Oklahoma,110,3,24
Mississippi,109,4,18
South Carolina,103,4,19
Louisiana,100,7,21
Kentucky,84,3,14
Washington,82,3,10
Virginia,76,5,20
Tennessee,64,5,13
Oregon,56,2,10
Utah,55,4,12
Minnesota,51,1,9
Arkansas,48,2,8
Massachusetts,41,3,10
Wisconsin,41,1,8
Arizona,33,2,10
North Dakota,32,2,5
Nebraska,30,1,7
Missouri,27,5,11
Colorado,26,4,7
Nevada,24,2,5
Illinois,23,3,14
Connecticut,22,2,3
Idaho,16,3,5
Maryland,15,2,4
Wyoming,15,1,1
New Jersey,11,1,5
New York,10,3,5
Kansas,10,3,5
South Dakota,10,1,4
Montana,10,1,1
Rhode Island,5,1,1
West Virginia,3,2,3
Hawaii,1,1,1
Ontario,1,1,1
