State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Ohio,258,5,27
Texas,246,10,42
Georgia,246,3,19
Alabama,207,4,20
Michigan,196,4,25
California,151,7,34
Pennsylvania,151,3,15
Indiana,125,4,16
Mississippi,119,4,18
Iowa,118,3,16
North Carolina,117,7,23
South Carolina,113,4,18
Louisiana,104,6,20
Florida,103,7,22
Oklahoma,96,3,19
Kentucky,95,3,14
Virginia,81,3,17
Washington,75,2,8
Utah,60,4,11
Oregon,58,2,9
Arkansas,56,2,7
Tennessee,50,4,11
Nevada,42,1,5
Arizona,34,1,9
Colorado,33,3,6
Minnesota,33,1,5
Massachusetts,33,1,5
Wisconsin,27,1,5
Nebraska,25,1,6
Missouri,23,2,7
Idaho,17,3,4
Illinois,16,3,7
North Dakota,16,2,4
Wyoming,15,1,1
Connecticut,13,2,3
New Jersey,8,1,4
Maryland,8,2,3
South Dakota,8,1,2
New York,5,3,5
Montana,5,1,1
West Virginia,4,2,3
Kansas,3,2,2
Rhode Island,1,1,1
