State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,265,10,47
Ohio,259,8,26
Georgia,245,4,22
Alabama,216,6,23
Michigan,189,5,26
California,158,7,37
Pennsylvania,141,2,15
Indiana,124,4,19
Iowa,121,3,17
Florida,113,7,25
Mississippi,112,3,16
North Carolina,107,7,28
Oklahoma,104,3,22
Louisiana,102,7,22
South Carolina,98,4,18
Washington,85,2,9
Kentucky,84,3,14
Virginia,81,4,16
Oregon,64,2,10
Utah,59,4,12
Minnesota,53,1,7
Tennessee,52,4,12
Arkansas,47,2,8
Arizona,37,2,10
Massachusetts,37,1,8
Colorado,31,3,7
Nebraska,30,1,8
Nevada,30,1,4
Wisconsin,27,1,6
Connecticut,23,2,3
Illinois,22,2,10
Missouri,21,4,9
North Dakota,21,2,4
Wyoming,20,1,1
Idaho,13,3,4
New Jersey,10,1,5
Maryland,10,2,4
New York,9,3,5
South Dakota,8,1,3
Montana,8,1,1
Kansas,4,3,4
West Virginia,3,2,2
Rhode Island,2,1,1
