State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,299,6,40
Ohio,282,3,30
Texas,235,10,42
Georgia,228,2,23
South Carolina,188,4,32
California,164,7,36
Indiana,157,4,24
Florida,156,6,34
Oklahoma,126,3,27
Iowa,118,3,18
Mississippi,110,4,18
Washington,109,2,11
North Carolina,102,7,19
Michigan,101,4,20
Pennsylvania,96,2,16
Virginia,89,3,16
Louisiana,74,5,16
Kentucky,73,3,15
Oregon,72,2,13
Arkansas,68,1,8
Arizona,50,1,10
Utah,49,3,8
Nevada,44,1,5
Massachusetts,38,1,6
Wisconsin,35,1,6
Minnesota,33,1,6
Tennessee,31,4,12
Illinois,28,2,4
Maryland,15,2,5
Idaho,15,1,1
Colorado,12,2,3
New York,11,2,5
West Virginia,9,2,4
New Jersey,9,1,4
Missouri,8,2,7
Connecticut,5,1,1
Nebraska,2,1,2
North Dakota,2,1,1
Wyoming,1,1,1
Hawaii,1,1,1
